Date;Device;App;UsageTime;UsageCount
December 18, 2022;samsung SM-A536B;Game Dev Story;0s;0
December 19, 2022;samsung SM-A536B;Game Dev Story;0s;0
December 20, 2022;samsung SM-A536B;Game Dev Story;0s;0
December 21, 2022;samsung SM-A536B;Game Dev Story;36m 32s;4
December 22, 2022;samsung SM-A536B;Game Dev Story;0s;0
December 23, 2022;samsung SM-A536B;Game Dev Story;1h 39m 12s;1
December 24, 2022;samsung SM-A536B;Game Dev Story;4h 45m 37s;7
December 25, 2022;samsung SM-A536B;Game Dev Story;58m 34s;3
December 26, 2022;samsung SM-A536B;Game Dev Story;20m 32s;1
December 27, 2022;samsung SM-A536B;Game Dev Story;34m 54s;1
December 28, 2022;samsung SM-A536B;Game Dev Story;32m 15s;1
December 29, 2022;samsung SM-A536B;Game Dev Story;1h 25m 17s;4
December 30, 2022;samsung SM-A536B;Game Dev Story;20m 29s;3
December 31, 2022;samsung SM-A536B;Game Dev Story;0s;0
December 10, 2022;HUAWEI STK-LX1;SOVA V RE;0s;0
December 11, 2022;HUAWEI STK-LX2;SOVA V RE;8s;1
December 12, 2022;HUAWEI STK-LX3;SOVA V RE;0s;0
December 13, 2022;HUAWEI STK-LX4;SOVA V RE;32m 4s;27
December 14, 2022;HUAWEI STK-LX5;SOVA V RE;23m;29
December 15, 2022;HUAWEI STK-LX6;SOVA V RE;26m 48s;26
December 16, 2022;HUAWEI STK-LX7;SOVA V RE;3m 29s;11
December 17, 2022;HUAWEI STK-LX8;SOVA V RE;4m 12s;6
December 18, 2022;HUAWEI STK-LX9;SOVA V RE;14m 20s;20
December 19, 2022;HUAWEI STK-LX10;SOVA V RE;5m 39s;13
December 20, 2022;HUAWEI STK-LX11;SOVA V RE;5m 13s;11
December 21, 2022;HUAWEI STK-LX12;SOVA V RE;8m 54s;8
December 22, 2022;HUAWEI STK-LX13;SOVA V RE;1m 23s;5
December 23, 2022;HUAWEI STK-LX14;SOVA V RE;0s;0
December 24, 2022;HUAWEI STK-LX15;SOVA V RE;0s;0
December 25, 2022;HUAWEI STK-LX16;SOVA V RE;3m 51s;7
December 26, 2022;HUAWEI STK-LX17;SOVA V RE;0s;0
December 27, 2022;HUAWEI STK-LX18;SOVA V RE;40s;3
