dyscipline;Mscore;Wscore;Mname ;Wname;more better;prc
discus throw;74,08;76,8;Jurgen Schult;Gabriele Reinsch;1;-0,036717063
jawelin throw;98,48;72,28;Jan Zelezny;Barbora Spotakova;1;0,266043867
100m run;9,58;10,49;Usain Bolt;Florence Griffith-Joyner;-1;0,094989562
marathon;7299;8044;EliudKipchoge;Brigid Kosegei;-1;0,102068777
weightlifting - cat: 55kg total score;294;227;Om Yun-chol;Liao Qiuyun;1;0,227891156
archery - 50m 72arrows barebow;673;637;Oliver Hicks;Cinzia Noziglia;1;0,053491828
shooting - 10m Air Rifle teams ;1887,4;1893;Yang, Hui, Yu;Wu, Zhao, Wang;1;-0,002967045
long jump;8,95;7,52;Mike Powell;Galina Chistyakova;1;0,159776536
high jump;2,45;2,09;Javier Sotomayor;Stefka Kostadinova;1;0,146938776
