After 0 matches,After 1 match,After 2 matches,After 3 matches
0,3,4,7
0,0,3,6
0,3,4,4
0,0,0,0
0,3,4,7
0,1,2,5
0,0,3,3
0,1,1,1
0,0,3,6
0,1,4,4
0,1,1,4
0,3,3,3
0,3,6,6
0,0,3,6
0,1,1,4
0,1,1,1
0,3,3,6
0,3,4,4
0,0,1,4
0,0,3,3
0,1,4,7
0,1,4,5
0,3,3,4
0,0,0,0
0,3,6,6
0,3,3,6
0,0,1,4
0,0,1,1
0,3,6,6
0,1,1,4
0,1,1,4
0,0,3,3
