"Move","Procent","Color","Type","Player","MoveColor"
"Book",9.2,"B","bullet","Krzysiek","#a88865"
"Inaccuracy",10.1,"B","bullet","Krzysiek","#f7c045"
"Mistake",8.5,"B","bullet","Krzysiek","#e58f2a"
"Blunder",6.8,"B","bullet","Krzysiek","#ca3431"
"Missed Win",1.5,"B","bullet","Krzysiek","#dbac16"
"Brilliant",0.1,"W","blitz","Krzysiek","#1bada6"
"Best",32.9,"W","blitz","Krzysiek","#96bc4b"
"Excellent",19.1,"W","blitz","Krzysiek","#9bbf56"
"Good",11.9,"W","blitz","Krzysiek","#96af8b"
"Book",10.3,"W","blitz","Krzysiek","#a88865"
"Inaccuracy",10.4,"W","blitz","Krzysiek","#f7c045"
"Mistake",8.1,"W","blitz","Krzysiek","#e58f2a"
"Blunder",5.8,"W","blitz","Krzysiek","#ca3431"
"Missed Win",1.4,"W","blitz","Krzysiek","#dbac16"
"Brilliant",0.1,"B","blitz","Krzysiek","#1bada6"
"Best",33.3,"B","blitz","Krzysiek","#96bc4b"
"Excellent",18.3,"B","blitz","Krzysiek","#9bbf56"
"Good",12.7,"B","blitz","Krzysiek","#96af8b"
"Book",8.5,"B","blitz","Krzysiek","#a88865"
"Inaccuracy",10.6,"B","blitz","Krzysiek","#f7c045"
"Mistake",8.3,"B","blitz","Krzysiek","#e58f2a"
"Blunder",6.6,"B","blitz","Krzysiek","#ca3431"
"Missed Win",1.5,"B","blitz","Krzysiek","#dbac16"
"Brilliant",0.1,"W","rapid","Krzysiek","#1bada6"
"Best",32.3,"W","rapid","Krzysiek","#96bc4b"
"Excellent",17.4,"W","rapid","Krzysiek","#9bbf56"
"Good",11.3,"W","rapid","Krzysiek","#96af8b"
"Book",11.2,"W","rapid","Krzysiek","#a88865"
"Inaccuracy",11,"W","rapid","Krzysiek","#f7c045"
"Mistake",8.7,"W","rapid","Krzysiek","#e58f2a"
"Blunder",6.3,"W","rapid","Krzysiek","#ca3431"
