name                            ,codex ,nationality,gender
tikhonova sofia                 ,6595  ,RUS        ,F
ito yuki                        ,5754  ,JPN        ,F
hoelzl chiara                   ,6570  ,AUT        ,F
bogataj ursa                    ,6197  ,SLO        ,F
stroem anna odine               ,6867  ,NOR        ,F
kriznar nika                    ,7072  ,SLO        ,F
pinkelnig eva                   ,7267  ,AUT        ,F
vogt carina                     ,5010  ,GER        ,F
seyfarth juliane                ,1952  ,GER        ,F
takanashi sara                  ,6198  ,JPN        ,F
althaus katharina               ,6113  ,GER        ,F
lundby maren                    ,5930  ,NOR        ,F
ekart taj                       ,7833  ,SLO        ,M
krenek filip                    ,8048  ,CZE        ,M
zupan ozbe                      ,8212  ,SLO        ,M
ciszek stanislaw                ,8290  ,POL        ,M
campregher andrea               ,7935  ,ITA        ,M
krzak jaroslaw                  ,7654  ,POL        ,M
toporis nejc                    ,7540  ,SLO        ,M
ardelean radu matei             ,7640  ,ROU        ,M
vidic matija                    ,7535  ,SLO        ,M
lejsek frantisek                ,7796  ,CZE        ,M
rydl radek                      ,7652  ,CZE        ,M
tsvietkov denys                 ,8611  ,UKR        ,M
lisso justin                    ,7143  ,GER        ,M
zapotoczny szymon               ,8405  ,POL        ,M
fuchs tim                       ,6558  ,GER        ,M
kieta krzysztof                 ,8078  ,POL        ,M
samec matevz                    ,6525  ,SLO        ,M
jojko arkadiusz                 ,8138  ,POL        ,M
kapias erik                     ,8156  ,SVK        ,M
gruszka mateusz                 ,7589  ,POL        ,M
folea moise alexandru           ,8110  ,ROU        ,M
yaniuk yurii                    ,8548  ,UKR        ,M
jipescu mircea stefan           ,8108  ,ROU        ,M
szabo csaba                     ,8632  ,ROU        ,M
korchuk anton                   ,8538  ,UKR        ,M
feroiu florin                   ,7642  ,ROU        ,M
sandulescu robert stefan        ,7549  ,ROU        ,M
vaverka petr                    ,7410  ,CZE        ,M
vaskul andrii                   ,7229  ,UKR        ,M
selcer radek                    ,7318  ,CZE        ,M
hauser krystof                  ,8270  ,CZE        ,M
sikola jakub                    ,7651  ,CZE        ,M
holub benedikt                  ,7795  ,CZE        ,M
huber stefan                    ,6093  ,AUT        ,M
pavlovcic bor                   ,6845  ,SLO        ,M
nomme martti                    ,6258  ,EST        ,M
sergeev maksim                  ,7464  ,RUS        ,M
learoyd jonathan                ,6956  ,FRA        ,M
loginov aleksandr               ,7911  ,RUS        ,M
shishkin vadim                  ,7132  ,RUS        ,M
simitchiyski krasimir           ,7017  ,BUL        ,M
tahkavuori frans                ,6255  ,FIN        ,M
urlaub andrew                   ,7553  ,USA        ,M
bazhenov aleksandr              ,7252  ,RUS        ,M
westerheim oscar p              ,7259  ,NOR        ,M
aune joakim                     ,6588  ,NOR        ,M
schoft felix                    ,2178  ,GER        ,M
queck danny                     ,2177  ,GER        ,M
mayer nicolas                   ,5188  ,FRA        ,M
zima rok                        ,5443  ,SLO        ,M
mueller lukas                   ,5750  ,AUT        ,M
myhren mats bjerke              ,7433  ,NOR        ,M
larson casey                    ,6877  ,USA        ,M
egloff luca                     ,5924  ,SUI        ,M
soukup matthew                  ,6801  ,CAN        ,M
windmueller sabrina             ,5387  ,SUI        ,F
sepandj jasmine                 ,6308  ,CAN        ,F
liu qi                          ,6647  ,CHN        ,F
ma tong                         ,6599  ,CHN        ,F
maurer nicole                   ,7573  ,CAN        ,F
purker claudia                  ,7213  ,AUT        ,F
mrakotova jana                  ,7214  ,CZE        ,F
d agostina roberta              ,1917  ,ITA        ,F
henrich taylor                  ,6090  ,CAN        ,F
li xueyao                       ,6598  ,CHN        ,F
pozun katja                     ,5000  ,SLO        ,F
chang xinyue                    ,6600  ,CHN        ,F
mork anniken                    ,7224  ,NOR        ,F
barannikova anastasiya          ,6343  ,RUS        ,F
malsiner manuela                ,6503  ,ITA        ,F
insam evelyn                    ,5388  ,ITA        ,F
mattel coline                   ,5498  ,FRA        ,F
straub ramona                   ,5714  ,GER        ,F
hendrickson sarah               ,5999  ,USA        ,F
klinec ema                      ,6470  ,SLO        ,F
avvakumova irina                ,6043  ,RUS        ,F
iraschko-stolz daniela          ,4130  ,AUT        ,F
nester sophia                   ,7746  ,USA        ,F
shishkina veronika              ,7579  ,KAZ        ,F
berghmans sophie                ,8176  ,CAN        ,F
hoffmann anna                   ,7559  ,USA        ,F
macuga samantha                 ,7813  ,USA        ,F
belshaw annika                  ,7801  ,USA        ,F
larson cara                     ,7665  ,USA        ,F
sinkovec jure                   ,3104  ,SLO        ,M
roensen atle pedersen           ,5067  ,NOR        ,M
meznar mitja                    ,4939  ,SLO        ,M
zhou xiaoyang                   ,8510  ,CHN        ,M
sundal kristoffer eriksen       ,8021  ,NOR        ,M
belshaw erik                    ,8498  ,USA        ,M
nagamine hisaki                 ,8534  ,JPN        ,M
bjoertomt paal haakon           ,8445  ,NOR        ,M
zhen weijie                     ,8514  ,CHN        ,M
lyu yixin                       ,8512  ,CHN        ,M
song qiwu                       ,8520  ,CHN        ,M
geyer luca                      ,7388  ,GER        ,M
haas claudio                    ,7677  ,GER        ,M
joniak klemens                  ,8289  ,POL        ,M
strzinar marcel                 ,7877  ,SLO        ,M
strand soelve jokerud           ,8443  ,NOR        ,M
urbanc rok                      ,4333  ,SLO        ,M
johnson anders                  ,4626  ,USA        ,M
fairall nicholas                ,4764  ,USA        ,M
grimholm isak                   ,4176  ,SWE        ,M
hrgota robert                   ,5053  ,SLO        ,M
erikson johan                   ,4174  ,SWE        ,M
kiuru tami                      ,1996  ,FIN        ,M
pettersen sigurd                ,3071  ,NOR        ,M
