name                            ,codex ,nationality,gender
kobayashi ryoyu                 ,6288  ,JPN        ,M
steiner maximilian              ,6788  ,AUT        ,M
kytosaho niko                   ,6912  ,FIN        ,M
jelar ziga                      ,6483  ,SLO        ,M
zniszczol aleksander            ,5494  ,POL        ,M
lackner thomas                  ,5517  ,AUT        ,M
schiffner markus                ,5585  ,AUT        ,M
nazarov mikhail                 ,6036  ,RUS        ,M
schlierenzauer gregor           ,5040  ,AUT        ,M
prevc cene                      ,6480  ,SLO        ,M
hamann martin                   ,6551  ,GER        ,M
leitner clemens                 ,6711  ,AUT        ,M
aalto antti                     ,6996  ,FIN        ,M
prevc domen                     ,7091  ,SLO        ,M
lanisek anze                    ,6437  ,SLO        ,M
aigro artti                     ,6918  ,EST        ,M
boyd-clowes mackenzie           ,4678  ,CAN        ,M
paschke pius                    ,2171  ,GER        ,M
johansson robert                ,5589  ,NOR        ,M
eriksen sander vossan           ,7773  ,NOR        ,M
hayboeck michael                ,5288  ,AUT        ,M
deschwanden gregor              ,5435  ,SUI        ,M
forfang johann andre            ,6100  ,NOR        ,M
klimov evgeniy                  ,6645  ,RUS        ,M
stekala andrzej                 ,6698  ,POL        ,M
hoerl jan                       ,7450  ,AUT        ,M
tande daniel andre              ,6098  ,NOR        ,M
muranka klemens                 ,5326  ,POL        ,M
sato keiichi                    ,7006  ,JPN        ,M
freund severin                  ,4197  ,GER        ,M
aschenwald philipp              ,6084  ,AUT        ,M
zografski vladimir              ,5168  ,BUL        ,M
prevc peter                     ,5658  ,SLO        ,M
kobayashi junshiro              ,5451  ,JPN        ,M
zyla piotr                      ,4325  ,POL        ,M
ammann simon                    ,2067  ,SUI        ,M
geiger karl                     ,5567  ,GER        ,M
dean decker                     ,7936  ,USA        ,M
kraft stefan                    ,5497  ,AUT        ,M
schmid constantin               ,7196  ,GER        ,M
stoch kamil                     ,4321  ,POL        ,M
kot maciej                      ,5298  ,POL        ,M
eisenbichler markus             ,5253  ,GER        ,M
kahofer timon-pascal            ,6701  ,AUT        ,M
kubacki dawid                   ,5142  ,POL        ,M
fettner manuel                  ,2928  ,AUT        ,M
huber daniel                    ,5945  ,AUT        ,M
polasek viktor                  ,6724  ,CZE        ,M
granerud halvor egner           ,6880  ,NOR        ,M
rupitsch markus                 ,6878  ,AUT        ,M
tollinger elias                 ,6327  ,AUT        ,M
bickner kevin                   ,6671  ,USA        ,M
sakuyama kento                  ,5521  ,JPN        ,M
maeaettae jarkko                ,5796  ,FIN        ,M
insam alex                      ,6758  ,ITA        ,M
kozisek cestmir                 ,5063  ,CZE        ,M
glasder michael                 ,2805  ,USA        ,M
muminov sabirzhan               ,5788  ,KAZ        ,M
colloredo sebastian             ,4186  ,ITA        ,M
romashov alexey                 ,5706  ,RUS        ,M
vassiliev dimitry               ,2813  ,RUS        ,M
stursa vojtech                  ,6414  ,CZE        ,M
peier killian                   ,6235  ,SUI        ,M
nousiainen eetu                 ,7354  ,FIN        ,M
rhoads william                  ,6581  ,USA        ,M
poppinger manuel                ,5039  ,AUT        ,M
kornilov denis                  ,4880  ,RUS        ,M
wolny jakub                     ,6165  ,POL        ,M
kasai noriaki                   ,2022  ,JPN        ,M
aigner clemens                  ,5518  ,AUT        ,M
zajc timi                       ,7147  ,SLO        ,M
takeuchi taku                   ,4367  ,JPN        ,M
semenic anze                    ,5626  ,SLO        ,M
bartol tilen                    ,6633  ,SLO        ,M
leyhe stephan                   ,5262  ,GER        ,M
hula stefan                     ,4322  ,POL        ,M
stjernen andreas                ,5174  ,NOR        ,M
damjan jernej                   ,4025  ,SLO        ,M
fannemel anders                 ,5972  ,NOR        ,M
wellinger andreas               ,6696  ,GER        ,M
diethart thomas                 ,5438  ,AUT        ,M
strolz andreas                  ,4714  ,AUT        ,M
innauer mario                   ,5038  ,AUT        ,M
dellasega diego                 ,5324  ,ITA        ,M
levkin evgeni                   ,5607  ,KAZ        ,M
watase yuta                     ,2852  ,JPN        ,M
descombes sevoie vincent        ,2987  ,FRA        ,M
sliz rafal                      ,4734  ,POL        ,M
grigoli marco                   ,1922  ,SUI        ,M
boshchuk volodymyr              ,4336  ,UKR        ,M
korolev alexey                  ,1905  ,KAZ        ,M
kim hyun-ki                     ,2024  ,KOR        ,M
lazarovych oleksandr            ,4920  ,UKR        ,M
trofimov roman                  ,5760  ,RUS        ,M
pikl primoz                     ,3023  ,SLO        ,M
choi heung-chul                 ,2025  ,KOR        ,M
tepes jurij                     ,4646  ,SLO        ,M
sedlak borek                    ,2999  ,CZE        ,M
ruuskanen juha-matti            ,2916  ,FIN        ,M
bachleda marcin                 ,2036  ,POL        ,M
muotka olli                     ,5185  ,FIN        ,M
hlava lukas                     ,3090  ,CZE        ,M
thurnbichler stefan             ,1972  ,AUT        ,M
bodmer pascal                   ,2129  ,GER        ,M
matura jan                      ,2947  ,CZE        ,M
uhrmann michael                 ,2010  ,GER        ,M
freitag richard                 ,5564  ,GER        ,M
koivuranta anssi                ,5119  ,FIN        ,M
janda jakub                     ,1984  ,CZE        ,M
kranjec robert                  ,2918  ,SLO        ,M
schmitt martin                  ,1998  ,GER        ,M
koudelka roman                  ,4801  ,CZE        ,M
ahonen janne                    ,1995  ,FIN        ,M
velta rune                      ,5987  ,NOR        ,M
chedal emmanuel                 ,2819  ,FRA        ,M
tochimoto shohei                ,2530  ,JPN        ,M
romoeren bjoern einar           ,2917  ,NOR        ,M
hocke stephan                   ,4015  ,GER        ,M
neumayer michael                ,2927  ,GER        ,M
jacobsen anders                 ,4889  ,NOR        ,M
koch martin                     ,2815  ,AUT        ,M
bardal anders                   ,2934  ,NOR        ,M
evensen johan remen             ,5749  ,NOR        ,M
ito daiki                       ,4259  ,JPN        ,M
loitzl wolfgang                 ,2088  ,AUT        ,M
karelin pavel                   ,2546  ,RUS        ,M
hilde tom                       ,5064  ,NOR        ,M
larinto ville                   ,5396  ,FIN        ,M
malysz adam                     ,2039  ,POL        ,M
hautamaeki matti                ,1991  ,FIN        ,M
kofler andreas                  ,4141  ,AUT        ,M
morgenstern thomas              ,4143  ,AUT        ,M
li chao                         ,6226  ,CHN        ,M
pilch tomasz                    ,7336  ,POL        ,M
tursunzhanov nurshat            ,7586  ,KAZ        ,M
ipcioglu fatih arda             ,6177  ,TUR        ,M
cintimar muhammet irfan         ,6176  ,TUR        ,M
kobayashi tatsunao              ,8040  ,JPN        ,M
yang guang                      ,5166  ,CHN        ,M
lauchlan nigel                  ,6851  ,CAN        ,M
foubert valentin                ,7856  ,FRA        ,M
brasme paul                     ,6716  ,FRA        ,M
cecon francesco                 ,7524  ,ITA        ,M
bombek jan                      ,8009  ,SLO        ,M
bedir muhammed ali              ,7282  ,TUR        ,M
maltsev kevin                   ,6951  ,EST        ,M
holik frantisek                 ,6328  ,CZE        ,M
kadyrov ilshat                  ,7587  ,KAZ        ,M
purtov mikhail                  ,7915  ,RUS        ,M
chen zhe                        ,7841  ,CHN        ,M
moroder daniel                  ,7520  ,ITA        ,M
kolobov maksim                  ,219604,RUS        ,M
heggli bendik jakobsen          ,9341  ,NOR        ,M
molnar florian                  ,7330  ,HUN        ,M
kudo sota                       ,7561  ,JPN        ,M
fujita shinnosuke               ,7501  ,JPN        ,M
ikeda ryusei                    ,7719  ,JPN        ,M
scharffs greyson                ,8170  ,USA        ,M
vassilyev danil                 ,7888  ,KAZ        ,M
niznik adam                     ,7840  ,POL        ,M
mogel zak                       ,7542  ,SLO        ,M
juroszek kacper                 ,7835  ,POL        ,M
bresadola giovanni              ,7333  ,ITA        ,M
woergoetter marco               ,8019  ,AUT        ,M
hauswirth sandro                ,6999  ,SUI        ,M
sakala filip                    ,6088  ,CZE        ,M
nikaido ren                     ,7305  ,JPN        ,M
hafnar mark                     ,7761  ,SLO        ,M
rainer stefan                   ,7456  ,AUT        ,M
maerkl kilian                   ,7112  ,GER        ,M
grilc tjas                      ,8131  ,SLO        ,M
presecnik jernej                ,7366  ,SLO        ,M
hvala jaka                      ,5891  ,SLO        ,M
raimund philipp                 ,7349  ,GER        ,M
ladehaug anders                 ,7192  ,NOR        ,M
baer moritz                     ,7211  ,GER        ,M
kos lovro                       ,7492  ,SLO        ,M
bjoereng joacim oedegaard       ,7256  ,NOR        ,M
roth luca                       ,7155  ,GER        ,M
buskum andreas granerud         ,6532  ,NOR        ,M
ringen sondre                   ,7679  ,NOR        ,M
wohlgenannt ulrich              ,5519  ,AUT        ,M
byrt tomasz                     ,5493  ,POL        ,M
pytel michal                    ,6614  ,POL        ,M
zyla damian                     ,6166  ,POL        ,M
zapotoczny andrzej              ,5745  ,POL        ,M
szostok szymon                  ,6155  ,POL        ,M
gasienica laskowy bartosz       ,6160  ,POL        ,M
rutkowski lukasz                ,5141  ,POL        ,M
klaric jernej                   ,6484  ,SLO        ,M
menz florian                    ,5864  ,GER        ,M
klinec gasper                   ,5836  ,SLO        ,M
zmoray tomas                    ,1967  ,SVK        ,M
demir ayberk                    ,6179  ,TUR        ,M
myhre sondre                    ,6399  ,NOR        ,M
henningsen alexander            ,6099  ,NOR        ,M
stenseth mathis rebne           ,6868  ,NOR        ,M
muravitski aliaksei             ,5378  ,BLR        ,M
hoff andreas                    ,6843  ,NOR        ,M
kamynin aleksei                 ,6688  ,RUS        ,M
soeberg sigurd nymoen           ,6844  ,NOR        ,M
krapez david                    ,6684  ,SLO        ,M
dreher michael                  ,6199  ,GER        ,M
grm david                       ,6435  ,SLO        ,M
sogard jonas gropen             ,6533  ,NOR        ,M
bergquist hans petter           ,6206  ,NOR        ,M
likar matej                     ,5838  ,SLO        ,M
pachin andrey                   ,6029  ,RUS        ,M
silih zak                       ,6683  ,SLO        ,M
zepic aljaz                     ,6315  ,SLO        ,M
hlebanja ales                   ,5751  ,SLO        ,M
wangler niclas                  ,5890  ,GER        ,M
streitler patrick hermann       ,6329  ,AUT        ,M
livelten adrian soerensen       ,6865  ,NOR        ,M
loeffler tobias                 ,6632  ,GER        ,M
verbajs tomaz                   ,6109  ,SLO        ,M
maladsou nikita                 ,6675  ,BLR        ,M
vodan aljaz                     ,5893  ,SLO        ,M
skinnes stian andre             ,6401  ,NOR        ,M
khalezov alexander              ,6782  ,RUS        ,M
lugert tobias                   ,6071  ,GER        ,M
kalinchuk andriy                ,6463  ,UKR        ,M
kot jakub                       ,5297  ,POL        ,M
soucek jan                      ,6413  ,CZE        ,M
bartos david                    ,6412  ,CZE        ,M
kojzar mateusz                  ,6156  ,POL        ,M
kulikov sergei                  ,6685  ,RUS        ,M
mytskaniuk yauheny              ,5379  ,BLR        ,M
janota konrad                   ,6699  ,POL        ,M
milczanowski michal             ,6158  ,POL        ,M
zhurakivskyy vasyl              ,5374  ,UKR        ,M
horlacher kevin                 ,2138  ,GER        ,M
ripper david                    ,5990  ,CZE        ,M
kanik dawid                     ,6366  ,POL        ,M
winkler david                   ,5481  ,GER        ,M
mazoch jiri                     ,5062  ,CZE        ,M
kadlec milos                    ,6055  ,CZE        ,M
leja krysztof                   ,5512  ,POL        ,M
gasienica-kotelnicki wojciech   ,5356  ,POL        ,M
ruda adam                       ,6838  ,POL        ,M
friedrich tomas                 ,5906  ,CZE        ,M
stauder christoph               ,5439  ,AUT        ,M
podzorski lukasz                ,6157  ,POL        ,M
kantyka przemyslaw              ,6530  ,POL        ,M
klymchuk andrii                 ,5773  ,UKR        ,M
bogner tobias                   ,2136  ,GER        ,M
eggenhofer markus               ,5186  ,AUT        ,M
veredyuk volodymyr              ,5349  ,UKR        ,M
althaus daniel                  ,5503  ,GER        ,M
maksimochkin mikhail            ,6194  ,RUS        ,M
kapp andero                     ,8545  ,EST        ,M
palosaari vilho                 ,8615  ,FIN        ,M
tormanen kalle                  ,219607,FIN        ,M
tainio eemeli                   ,7212  ,FIN        ,M
kagu markus                     ,8354  ,EST        ,M
alatalkkari lauri-matias        ,7356  ,FIN        ,M
zhu honglin                     ,8505  ,CHN        ,M
meis tuomas                     ,219761,FIN        ,M
cui qihang                      ,8364  ,CHN        ,M
liu xin                         ,8519  ,CHN        ,M
huang xuyu                      ,219775,CHN        ,M
rammo karel                     ,7637  ,EST        ,M
romppainen paavo                ,7375  ,FIN        ,M
kinnunen tuomas                 ,8098  ,FIN        ,M
alter markkus                   ,7202  ,EST        ,M
kavilo henri                    ,6911  ,FIN        ,M
obersteiner louis               ,8282  ,AUT        ,M
valto kasperi                   ,7873  ,FIN        ,M
fussenegger andre               ,7632  ,AUT        ,M
smid julijan                    ,7868  ,AUT        ,M
habdas jan                      ,7600  ,POL        ,M
hoffmann felix                  ,6552  ,GER        ,M
reisenauer janni                ,6715  ,AUT        ,M
moerth francisco                ,7715  ,AUT        ,M
birchler tobias                 ,6535  ,SUI        ,M
pungertar matjaz                ,5284  ,SLO        ,M
altenburger florian             ,5515  ,AUT        ,M
vancura tomas                   ,6883  ,CZE        ,M
ito kenshiro                    ,4963  ,JPN        ,M
dezman nejc                     ,5676  ,SLO        ,M
lamy chappuis ronan             ,5723  ,FRA        ,M
harada yumu                     ,5237  ,JPN        ,M
sjoeen phillip                  ,6312  ,NOR        ,M
zhaparov marat                  ,4599  ,KAZ        ,M
siegel david                    ,6553  ,GER        ,M
wank andreas                    ,4226  ,GER        ,M
schuler andreas                 ,6009  ,SUI        ,M
wienerroither julian            ,7178  ,AUT        ,M
hazetdinov ilmir                ,5466  ,RUS        ,M
tkachenko sergey                ,7343  ,KAZ        ,M
schwann mika                    ,6710  ,AUT        ,M
iwasa yuken                     ,6997  ,JPN        ,M
sato yukiya                     ,6151  ,JPN        ,M
diess martin                    ,6244  ,AUT        ,M
greiderer simon                 ,6086  ,AUT        ,M
haagen david                    ,7179  ,AUT        ,M
haagen philipp                  ,7177  ,AUT        ,M
hofer thomas                    ,6085  ,AUT        ,M
mitrofan nicolae sorin          ,6630  ,ROU        ,M
tarman rok                      ,6894  ,SLO        ,M
marusiak yevhen                 ,7230  ,UKR        ,M
skupien damian                  ,7241  ,POL        ,M
maylaender dominik              ,6127  ,GER        ,M
maylaender axel                 ,6927  ,GER        ,M
oestvold benjamin               ,7871  ,NOR        ,M
kurita riki                     ,7556  ,JPN        ,M
nietzel justin                  ,6973  ,GER        ,M
batby alessandro                ,7666  ,FRA        ,M
fabijan nik                     ,6481  ,SLO        ,M
gasienica patrick               ,7711  ,USA        ,M
lasota damian                   ,6549  ,CZE        ,M
kastelik dominik                ,6991  ,POL        ,M
pasichnyk stepan                ,6914  ,UKR        ,M
pacurar radu mihai              ,7050  ,ROU        ,M
maurer joshua                   ,6305  ,CAN        ,M
lavtizar anze                   ,6289  ,SLO        ,M
cacina daniel andrei            ,7048  ,ROU        ,M
markeng simen aasen             ,8037  ,NOR        ,M
mattoon nicholas                ,6798  ,USA        ,M
rajda mateusz                   ,7839  ,POL        ,M
bukowski lukasz                 ,7242  ,POL        ,M
dellasega roberto               ,4720  ,ITA        ,M
seidl fabian                    ,7210  ,GER        ,M
niemczyk karol                  ,7337  ,POL        ,M
pitea sorin iulian              ,6560  ,ROU        ,M
farkas hunor                    ,7049  ,ROU        ,M
contamine mathis                ,6959  ,FRA        ,M
osterc aljaz                    ,7175  ,SLO        ,M
feldorean andrei                ,6805  ,ROU        ,M
spulber mihnea alexandru        ,6807  ,ROU        ,M
wallace brian                   ,6187  ,USA        ,M
lunardi michael                 ,5045  ,ITA        ,M
biela stanislaw                 ,5550  ,POL        ,M
takehana kenta                  ,6154  ,JPN        ,M
kalinichenko vitaliy            ,5664  ,UKR        ,M
dirnbauer josef                 ,7391  ,AUT        ,M
di lenardo zeno                 ,5933  ,ITA        ,M
markeng thomas aasen            ,7588  ,NOR        ,M
wasek pawel                     ,6987  ,POL        ,M
kogler patrick                  ,6527  ,AUT        ,M
weigel justin                   ,7022  ,GER        ,M
czyz bartosz                    ,6986  ,POL        ,M
pavlic blaz                     ,7502  ,SLO        ,M
wagner lukas                    ,6065  ,GER        ,M
valtiner noah                   ,7185  ,AUT        ,M
lienher maximilian              ,7289  ,AUT        ,M
modic andraz                    ,5841  ,SLO        ,M
bradatsch sebastian             ,6281  ,GER        ,M
pograjc andraz                  ,5109  ,SLO        ,M
cecon federico                  ,5778  ,ITA        ,M
lazzaroni david                 ,4041  ,FRA        ,M
zhaparov radik                  ,3787  ,KAZ        ,M
ulmer christian                 ,5404  ,GER        ,M
sklett vegard-haukoe            ,5904  ,NOR        ,M
vaculik ondrej                  ,4236  ,CZE        ,M
alexander nicholas              ,5219  ,USA        ,M
endo shuji                      ,4299  ,JPN        ,M
karaulov ivan                   ,4748  ,KAZ        ,M
karpenko nikolay                ,1906  ,KAZ        ,M
rosliakov ilja                  ,4664  ,RUS        ,M
mechler maximilian              ,2931  ,GER        ,M
ipatov dimitry                  ,4613  ,RUS        ,M
yoshioka kazuya                 ,2018  ,JPN        ,M
spaeth georg                    ,2009  ,GER        ,M
keituri kalle                   ,2970  ,FIN        ,M
kuettel andreas                 ,2062  ,SUI        ,M
zauner david                    ,6296  ,AUT        ,M
hajek antonin                   ,4593  ,CZE        ,M
olli harri                      ,4580  ,FIN        ,M
pylypchuk tetyana               ,7598  ,UKR        ,F
pawlikowska roza                ,7359  ,POL        ,F
herasymiuk vitalina             ,7832  ,UKR        ,F
konderla nicole                 ,8148  ,POL        ,F
hausenberg triinu               ,7688  ,EST        ,F
droniak khrystyna               ,7448  ,UKR        ,F
rajnochova michaela             ,6567  ,CZE        ,F
cieslar paulina                 ,7412  ,POL        ,F
prokopieva kristina             ,7917  ,RUS        ,F
ulrichova klara                 ,7823  ,CZE        ,F
bendi annemarii                 ,6944  ,EST        ,F
shpyneva anna                   ,7726  ,RUS        ,F
volavsek ema                    ,7929  ,SLO        ,F
mazi pia                        ,7368  ,SLO        ,F
ptackova stepanka               ,7321  ,CZE        ,F
palasz magdalena                ,6751  ,POL        ,F
szwab joanna                    ,6314  ,POL        ,F
kil joanna                      ,7234  ,POL        ,F
trambitas andreea diana         ,7239  ,ROU        ,F
twardosz anna                   ,7237  ,POL        ,F
bodnarchuk natasha              ,7574  ,CAN        ,F
borodina alina                  ,8199  ,RUS        ,F
blazkova barbora                ,6649  ,CZE        ,F
huber julia                     ,6631  ,AUT        ,F
militaru carina alexandra       ,7238  ,ROU        ,F
iakovleva mariia                ,7272  ,RUS        ,F
strate abigail                  ,7571  ,CAN        ,F
iakovleva lidiia                ,7271  ,RUS        ,F
kramer marita                   ,7669  ,AUT        ,F
rajda kinga                     ,7378  ,POL        ,F
raudaschl elisabeth             ,6555  ,AUT        ,F
seto yuka                       ,6388  ,JPN        ,F
haralambie daniela              ,6563  ,ROU        ,F
kang chil-ku                    ,3006  ,KOR        ,M
asikainen lauri                 ,5757  ,FIN        ,M
kaelin pascal                   ,6008  ,SUI        ,M
ingvaldsen ole marius           ,5193  ,NOR        ,M
choi seou                       ,2026  ,KOR        ,M
viry david                      ,5737  ,FRA        ,M
happonen janne                  ,3012  ,FIN        ,M
morassi andrea                  ,4724  ,ITA        ,M
shimizu reruhi                  ,5963  ,JPN        ,M
biegun krzysztof                ,5939  ,POL        ,M
mabboux alexandre               ,5320  ,FRA        ,M
pchelintsev alexey              ,5114  ,KAZ        ,M
bresadola davide                ,2708  ,ITA        ,M
nordin carl                     ,5115  ,SWE        ,M
antonissen lars                 ,6005  ,NED        ,M
inngjerdingen christian         ,7317  ,SWE        ,M
rowley matthew                  ,1931  ,CAN        ,M
ziobro jan                      ,5429  ,POL        ,M
gangnes kenneth                 ,5181  ,NOR        ,M
kraus marinus                   ,6342  ,GER        ,M
devyatkin nikita                ,6941  ,KAZ        ,M
kravtsov sergey                 ,8068  ,KAZ        ,M
kindlimann lars                 ,7173  ,SUI        ,M
galiani mattia                  ,7521  ,ITA        ,M
gungen muhammed munir           ,6515  ,TUR        ,M
alamommo andreas                ,6910  ,FIN        ,M
pohjola arttu                   ,8004  ,FIN        ,M
sell adrian                     ,6928  ,GER        ,M
masle rok                       ,7620  ,SLO        ,M
braathen matias                 ,7680  ,NOR        ,M
resinger peter                  ,7463  ,AUT        ,M
pedersen robin                  ,7067  ,NOR        ,M
kulmala mika                    ,5361  ,FIN        ,M
mietus krzysztof                ,5302  ,POL        ,M
musiol julian                   ,4215  ,GER        ,M
villumstad fredrik              ,6982  ,NOR        ,M
peter dominik                   ,7285  ,SUI        ,M
tschofenig daniel               ,7395  ,AUT        ,M
sadreev danil                   ,8076  ,RUS        ,M
nakamura naoki                  ,6392  ,JPN        ,M
lindvik marius                  ,6734  ,NOR        ,M
pesatova zdenka                 ,7070  ,CZE        ,F
park guylim                     ,7168  ,KOR        ,F
geraghty-moats tara             ,5331  ,USA        ,F
voros virag                     ,7281  ,HUN        ,F
roestad karoline                ,6795  ,NOR        ,F
forsstroem susanna              ,7078  ,FIN        ,F
krepelkova marta                ,7597  ,CZE        ,F
indrackova karolina             ,6875  ,CZE        ,F
sankey logan                    ,7494  ,USA        ,F
gianmoena veronica              ,6310  ,ITA        ,F
moberg astrid                   ,7507  ,SWE        ,F
karpiel kamila                  ,7233  ,POL        ,F
lussi nina                      ,5332  ,USA        ,F
barantceva aleksandra           ,7629  ,RUS        ,F
eilers natalie                  ,7575  ,CAN        ,F
komar katra                     ,7437  ,SLO        ,F
eder lisa                       ,7183  ,AUT        ,F
kablukova ksenia                ,7476  ,RUS        ,F
pagnier josephine               ,7154  ,FRA        ,F
braaten ingebjoerg saglien      ,7789  ,NOR        ,F
avocat gros oceane              ,6791  ,FRA        ,F
englund nita                    ,6089  ,USA        ,F
wuerth svenja                   ,5251  ,GER        ,F
hessler pauline                 ,6548  ,GER        ,F
kykkaenen julia                 ,5793  ,FIN        ,F
vtic maja                       ,4929  ,SLO        ,F
brecl jerneja                   ,7439  ,SLO        ,F
morat lucile                    ,7153  ,FRA        ,F
lemare lea                      ,6013  ,FRA        ,F
iwabuchi kaori                  ,6210  ,JPN        ,F
runggaldier elena               ,1921  ,ITA        ,F
rogelj spela                    ,5855  ,SLO        ,F
maruyama nozomi                 ,6681  ,JPN        ,F
opseth silje                    ,7477  ,NOR        ,F
malsiner lara                   ,6898  ,ITA        ,F
seifriedsberger jacqueline      ,1909  ,AUT        ,F
rupprecht anna                  ,5883  ,GER        ,F
kustova alexandra               ,6596  ,RUS        ,F
