"App name","Date","Time","Duration"
"App Usage","17/01/2023","15:46:56","0:00:01"
"Package installer","17/01/2023","15:46:52","0:00:03"
"App Usage","17/01/2023","15:46:36","0:00:17"
"Screen on (unlocked)","17/01/2023","15:46:28","0:00:01"
"Screen on (locked)","17/01/2023","15:46:24","0:00:04"
"Screen off (locked)","17/01/2023","15:30:46","0:15:38"
"Phone","17/01/2023","15:30:26","0:00:20"
"Screen on (locked)","17/01/2023","15:30:26","0:00:00"
"Screen off (locked)","17/01/2023","15:14:46","0:15:40"
"Screen on (locked)","17/01/2023","15:14:34","0:00:12"
"Screen off (locked)","17/01/2023","13:48:54","1:25:40"
"Screen on (unlocked)","17/01/2023","13:48:39","0:00:02"
"Screen on (locked)","17/01/2023","13:48:36","0:00:03"
"Screen off (locked)","17/01/2023","13:45:29","0:03:07"
"Screen on (locked)","17/01/2023","13:45:11","0:00:18"
"Screen off (locked)","17/01/2023","12:17:49","1:27:21"
"Screen on (locked)","17/01/2023","12:17:38","0:00:11"
"Screen off (locked)","17/01/2023","12:17:26","0:00:13"
"Screen on (locked)","17/01/2023","12:17:23","0:00:02"
"Screen off (locked)","17/01/2023","11:55:10","0:22:14"
"System UI","17/01/2023","11:55:01","0:00:01"
"GOmobile","17/01/2023","11:53:54","0:01:06"
"Screen on (unlocked)","17/01/2023","11:53:46","0:00:00"
"Screen on (locked)","17/01/2023","11:53:41","0:00:05"
"Screen off (locked)","17/01/2023","11:52:39","0:01:02"
"Screen on (locked)","17/01/2023","11:52:37","0:00:02"
"Screen off (locked)","17/01/2023","11:48:53","0:03:44"
"System UI","17/01/2023","11:48:49","0:00:01"
"Calculator","17/01/2023","11:42:11","0:06:38"
"Screen on (unlocked)","17/01/2023","11:42:07","0:00:01"
"Settings","17/01/2023","11:41:59","0:00:09"
"Screen on (locked)","17/01/2023","11:41:59","0:00:00"
"Screen off (locked)","17/01/2023","11:38:53","0:03:06"
"Settings","17/01/2023","11:38:42","0:00:10"
"Screen on (locked)","17/01/2023","11:38:42","0:00:00"
"Device boot","17/01/2023","11:36:00","0:02:42"
"Device shutdown","17/01/2023","11:33:52","0:02:08"
"System UI","17/01/2023","11:33:47","0:00:01"
"System UI","17/01/2023","11:33:39","0:00:01"
"Opera","17/01/2023","11:33:30","0:00:09"
"Settings","17/01/2023","11:33:23","0:00:01"
"Screen on (unlocked)","17/01/2023","11:33:23","0:00:00"
"Screen on (locked)","17/01/2023","11:33:19","0:00:04"
"Screen off (locked)","17/01/2023","11:33:08","0:00:11"
"System UI","17/01/2023","11:33:03","0:00:01"
"Messenger","17/01/2023","11:32:51","0:00:13"
"System UI","17/01/2023","11:32:48","0:00:01"
"Opera","17/01/2023","11:32:16","0:00:32"
"Settings","17/01/2023","11:32:13","0:00:03"
"Opera","17/01/2023","11:31:14","0:00:58"
"Settings","17/01/2023","11:31:12","0:00:02"
"Opera","17/01/2023","11:30:25","0:00:48"
"System UI","17/01/2023","11:30:22","0:00:03"
"Messenger","17/01/2023","11:30:14","0:00:07"
"Settings","17/01/2023","11:30:13","0:00:01"
"Messenger","17/01/2023","11:29:37","0:00:36"
"Camera","17/01/2023","11:29:35","0:00:01"
"System UI","17/01/2023","11:29:34","0:00:01"
"Camera","17/01/2023","11:29:26","0:00:08"
"Phone","17/01/2023","11:28:35","0:00:50"
"Opera","17/01/2023","11:27:50","0:00:45"
"Screen on (unlocked)","17/01/2023","11:26:43","0:00:00"
"Screen on (locked)","17/01/2023","11:26:40","0:00:03"
"Screen off (locked)","17/01/2023","11:24:42","0:01:58"
"System UI","17/01/2023","11:24:21","0:00:01"
"AFK Arena","17/01/2023","11:20:55","0:01:29"
"System UI","17/01/2023","11:20:53","0:00:02"
"Calculator","17/01/2023","11:20:48","0:00:05"
"AFK Arena","17/01/2023","11:13:08","0:07:39"
"Phone","17/01/2023","11:12:42","0:00:26"
"AFK Arena","17/01/2023","11:11:07","0:01:35"
"System UI","17/01/2023","11:10:46","0:00:01"
"People","17/01/2023","11:10:43","0:00:03"
"Phone","17/01/2023","11:08:53","0:01:50"
"People","17/01/2023","11:08:47","0:00:06"
"Screen on (unlocked)","17/01/2023","11:08:43","0:00:00"
"Screen on (locked)","17/01/2023","11:08:40","0:00:03"
"Screen off (locked)","17/01/2023","10:59:11","0:09:29"
"ReadEra","17/01/2023","10:59:02","0:00:03"
"Screen on (unlocked)","17/01/2023","10:59:01","0:00:00"
"Screen on (locked)","17/01/2023","10:58:58","0:00:03"
"Screen off (locked)","17/01/2023","08:56:39","2:02:19"
"ReadEra","17/01/2023","08:34:49","0:21:50"
"Total Commander","17/01/2023","08:34:47","0:00:02"
"ReadEra","17/01/2023","08:34:45","0:00:01"
"Screen on (unlocked)","17/01/2023","08:34:44","0:00:00"
"Screen on (locked)","17/01/2023","08:34:41","0:00:03"
"Screen off (locked)","17/01/2023","08:33:38","0:01:03"
"ReadEra","17/01/2023","08:29:11","0:04:27"
"Total Commander","17/01/2023","08:29:01","0:00:10"
"System UI","17/01/2023","08:28:56","0:00:01"
"Calendar","17/01/2023","08:28:54","0:00:01"
"Screen on (unlocked)","17/01/2023","08:28:53","0:00:01"
"Screen on (locked)","17/01/2023","08:28:46","0:00:07"
"Screen off (locked)","17/01/2023","08:28:17","0:00:29"
"Screen on (locked)","17/01/2023","08:28:08","0:00:09"
"Screen off (locked)","17/01/2023","08:21:47","0:06:21"
"Calendar","17/01/2023","08:21:42","0:00:05"
"Screen on (unlocked)","17/01/2023","08:21:27","0:00:15"
"Screen on (locked)","17/01/2023","08:21:23","0:00:04"
"Screen off (locked)","17/01/2023","08:09:50","0:11:33"
"Screen on (locked)","17/01/2023","08:09:46","0:00:04"
"Screen off (locked)","17/01/2023","08:00:50","0:08:56"
"System UI","17/01/2023","08:00:42","0:00:02"
"AFK Arena","17/01/2023","07:19:47","0:40:55"
"System UI","17/01/2023","07:19:38","0:00:01"
"System UI","17/01/2023","07:19:24","0:00:01"
"Ukrainian-English dictionary","17/01/2023","07:19:21","0:00:01"
"Screen on (unlocked)","17/01/2023","07:19:21","0:00:00"
"Screen on (locked)","17/01/2023","07:19:15","0:00:06"
"Screen off (locked)","17/01/2023","07:18:36","0:00:39"
"Screen on (locked)","17/01/2023","07:18:32","0:00:04"
"Screen off (locked)","17/01/2023","07:09:41","0:08:51"
"Screen on (locked)","17/01/2023","07:09:34","0:00:07"
"Screen off (locked)","17/01/2023","07:00:25","0:09:09"
"Ukrainian-English dictionary","17/01/2023","07:00:12","0:00:13"
