"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"65","Balrog","studies","Run For Cover",0.998,2022-12-28 13:50:23,"fast","techno rave",21
"66","Band Aid","studies","Do They Know It's Christmas? - 1984 Version",0.643,2022-12-18 11:47:17,"medium","musical advocacy",222
"67","Black Sabbath","free time","Iron Man",0.792,2022-12-28 19:36:37,"fast","album rock",107
"68","Black Sabbath","free time","Laguna Sunrise",0.179,2022-12-27 23:31:09,"slow","album rock",170
"69","Black Sabbath","free time","Orchid",0.0499,2022-12-27 22:04:29,"slow","album rock",90
"70","Black Sabbath","free time","Planet Caravan",0.0595,2022-12-27 23:55:30,"slow","album rock",269
"71","Black Sabbath","other","Iron Man",0.792,2022-12-28 19:36:37,"fast","album rock",2
"72","Black Sabbath","studies","Iron Man",0.792,2022-12-28 19:36:37,"fast","album rock",70
"73","Blicz","free time","Dark Flag",0.986,2022-12-27 12:49:45,"fast","acid techno",2
"74","Blicz","other","Dark Flag",0.986,2022-12-27 12:49:45,"fast","acid techno",317
"75","Blicz","studies","Dark Flag",0.986,2022-12-27 12:49:45,"fast","acid techno",49
"76","Blue Öyster Cult","free time","Then Came the Last Days of May",0.609,2022-12-28 00:04:29,"medium","album rock",210
"77","Bogfinkevej","free time","Ikaros",0.494,2022-12-26 23:34:14,"medium","danish hip hop",132
"78","Bogfinkevej","studies","Ikaros",0.494,2022-12-26 23:34:14,"medium","danish hip hop",14
"79","Boldy James","free time","Great Adventures",0.468,2022-12-29 22:27:12,"medium","alternative hip hop",78
"80","Brenda Lee","studies","Rockin' Around The Christmas Tree",0.472,2022-12-18 11:44:53,"medium","adult standards",126
"81","Brent Faiyaz","studies","Clouded",0.344,2022-12-29 19:43:09,"medium","dmv rap",110
"82","Britney Spears","free time","My Only Wish (This Year)",0.843,2022-12-18 12:03:44,"fast","dance pop",8
"83","Britney Spears","studies","My Only Wish (This Year)",0.843,2022-12-18 12:03:44,"fast","dance pop",240
"84","Camel","free time","Air Born",0.221,2022-12-27 22:43:57,"slow","album rock",302
"85","Camel","free time","Migration",0.743,2022-12-27 23:06:58,"fast","album rock",121
"86","Camel","free time","Rhayader",0.432,2022-12-27 23:27:58,"medium","album rock",181
"87","Camel","free time","Spirit Of The Water",0.101,2022-12-27 23:44:53,"slow","album rock",126
"88","Camel","free time","The Snow Goose",0.292,2022-12-28 00:00:47,"slow","album rock",192
"89","Camel","other","The Snow Goose",0.292,2022-12-28 22:50:47,"slow","album rock",192
"90","Champas","free time","Raw Matters - Original Mix",0.989,2022-12-18 22:39:31,"fast","dark techno",10
