endTime,artistName,trackName,msPlayed
2021-12-27 23:08,Łona I Webber,Kaloryfer,94977
2021-12-29 12:03,Mr. Polska,Hausa Wausa,25126
2021-12-29 12:10,Vieze Jack,Lekker Knallen!,4842
2021-12-29 12:14,Mr. Polska,Hausa Wausa,5433
2021-12-29 13:07,Imponderabilia,"Radek Kotarski wrócił! Ani słowa o Podsiadło i Lekko Stronniczym, tylko przyjaźń",2433442
2021-12-29 21:41,Mr. Polska,Hausa Wausa,12052
2021-12-29 21:44,TV Girl,Cigarettes out the Window,198960
2021-12-29 21:47,Łona I Webber,Kaloryfer,181951
2021-12-29 21:50,Mr. Polska,Hausa Wausa,11340
2021-12-29 21:50,Łona I Webber,Miej watpliwość,145214
2021-12-29 21:50,Łona I Webber,Miej watpliwość,1281
2021-12-29 21:53,Cage The Elephant,Ain't No Rest For The Wicked - Original Version,161608
2021-12-29 21:56,Tame Impala,Feels Like We Only Go Backwards,172124
2021-12-29 21:58,Stefan en Sean,Potentie,87988
2021-12-29 22:01,Paktofonika,Jestem Bogiem,7301
2021-12-29 22:01,Pezet,Slang,188106
2021-12-29 22:04,Pezet,Re-Fleksje,207892
2021-12-29 22:08,Łona I Webber,To Nic Nie Znaczy,199682
2021-12-29 22:10,Zdechły Osa,Zakochałem się w twojej matce,164599
2021-12-29 22:14,Jan-Rapowanie,Ruchy,205468
2021-12-29 22:18,Kaliber 44,Normalnie o tej porze,262200
2021-12-29 22:22,Pezet,Co mam powiedzieć,201826
2021-12-29 22:24,Paktofonika,Chwile Ulotne,148971
2021-12-29 22:27,Paktofonika,Chwile Ulotne,128282
2021-12-29 22:30,Łona I Webber,Błąd,185942
2021-12-29 22:32,Gruby Mielzky,"Silny jak nigdy, wkurwiony jak zwykle",97804
2021-12-29 22:46,Pięć Dwa Dębiec,To My!,89086
2021-12-29 22:48,Gamno,Soosan Khanoom,51212
2021-12-29 22:49,Gamno,Soosan Khanoom,15654
2021-12-30 17:05,Mr. Polska,Hausa Wausa,43236
2021-12-30 17:05,Łona I Webber,To Nic Nie Znaczy,1849
2021-12-30 17:08,Cage The Elephant,Ain't No Rest For The Wicked - Original Version,175493
2021-12-30 17:11,Łona I Webber,Kaloryfer,181951
2021-12-30 17:15,The Strokes,Reptilia,219826
2021-12-30 17:18,Łona I Webber,Gdzie Tak Pięknie?,206764
2021-12-30 17:22,Tame Impala,Feels Like We Only Go Backwards,192960
2021-12-30 17:24,Avi,Evviva l`arte,156920
2021-12-30 17:28,Czarny HIFI,Niedopowiedzenia,209662
2021-12-30 17:32,Czarny HIFI,Niedopowiedzenia,1626
2021-12-30 17:33,Mr. Polska,Hausa Wausa,11102
2021-12-30 17:35,Kaliber 44,Normalnie o tej porze,114820
2021-12-31 11:10,schafter,blow off,990
2021-12-31 11:16,Cage The Elephant,Dance Dance,1593
2021-12-31 11:16,MGMT,Little Dark Age,347255
2021-12-31 11:16,Łona I Webber,To Nic Nie Znaczy,8200
2021-12-31 11:20,Pawbeats,Pod śniegiem,244099
2021-12-31 11:24,TV Girl,Cigarettes out the Window,198960
2021-12-31 11:28,Łona I Webber,Miej watpliwość,218560
2021-12-31 11:31,Koza,Dostałem ten bit od Raua,178898
2021-12-31 11:34,Paktofonika,Powierzchnie tnące - Remastered Version,215756
2021-12-31 11:46,Koza,Rumcays,173613
2021-12-31 12:03,Koza,Rumcays,64403
2021-12-31 12:06,schafter,blow off,134739
2021-12-31 12:09,Tame Impala,Feels Like We Only Go Backwards,192960
2021-12-31 12:12,Łona I Webber,Rozmowy z Cutem,181800
2021-12-31 12:15,Łona I Webber,Kaloryfer,181951
2021-12-31 12:19,Quebonafide,ŁAJZA,230182
2021-12-31 12:49,Quebonafide,ŁAJZA,11868
2021-12-31 12:51,The Strokes,The Adults Are Talking,9106
2021-12-31 13:22,Imponderabilia,"Radek Kotarski wrócił! Ani słowa o Podsiadło i Lekko Stronniczym, tylko przyjaźń",1738088
2021-12-31 13:35,Imponderabilia,Andrzej Stasiuk i życie w lesie,669806
2021-12-31 13:50,Skądinąd,#82 Kryzys racjonalności. Rozmowa (świąteczna) z dr. Pawłem Boguszewskim i dr hab. Janem Chwedeńczukiem,862159
2021-12-31 20:27,MGMT,Little Dark Age,6834
2021-12-31 20:27,Męskie Granie Orkiestra 2021,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",4104
2021-12-31 20:29,schafter,blow off,134739
2021-12-31 20:29,Łona I Webber,Błąd,22484
2021-12-31 20:33,Paktofonika,Nowiny,224146
2021-12-31 20:35,Gibbs,200%,9213
2021-12-31 20:38,Gibbs,200%,1520
2021-12-31 20:38,Paktofonika,Chwile Ulotne,22454
2021-12-31 20:42,Paktofonika,Nowiny,231212
2021-12-31 20:42,Gibbs,200%,22727
2021-12-31 20:42,Paktofonika,Chwile Ulotne,843
2021-12-31 20:42,Guzior,KUSHKOMA,1308
2021-12-31 20:46,Łona I Webber,"Stop, Nadiu",255786
2021-12-31 20:51,Avi,WPR,4959
2021-12-31 20:51,Mata,Prawy do Lewego,230173
2021-12-31 20:54,Czarny HIFI,Wino,195000
2021-12-31 20:57,Koza,Serce,192000
2021-12-31 21:00,Ten Typ Mes,Foliage,183040
2021-12-31 21:03,Koza,Mango,148623
2022-01-01 22:22,Koza,Mango,1742
2022-01-01 22:22,Sokół,Jednorożec,1273
2022-01-01 22:24,Paktofonika,Jestem Bogiem,104163
2022-01-01 22:27,Pezet,Ukryty w Mieście Krzyk,201612
2022-01-01 22:27,Sokół,After,10008
2022-01-01 22:30,KęKę,Nigdy ponad stan,182067
2022-01-01 22:30,PRO8L3M,Ritz Carlton - Remix,13920
2022-01-01 22:34,Koza,Pogrzeb Kozy,189000
2022-01-01 22:37,Łona I Webber,Gdzie Tak Pięknie?,206764
2022-01-01 22:38,Gruby Mielzky,"Silny jak nigdy, wkurwiony jak zwykle",47890
2022-01-01 22:38,KęKę,Cesarz,2715
2022-01-01 22:38,Białas,Drift,3210
2022-01-01 22:42,Słoń,Sicario,892
2022-01-01 22:42,Rasmentalism,Mucha (feat. Jan-Rapowanie),17692
2022-01-01 22:42,Łona I Webber,Niepogoda,943
2022-01-01 22:42,Kaz Bałagane,Chaczapuri,2087
2022-01-01 22:42,Miuosh,Reprezent,242416
2022-01-01 22:42,Donguralesko,Pięć (prod. Tasty Beats),1377
2022-01-01 22:48,PRO8L3M,Rotterdam,8406
2022-01-01 22:48,Taco Hemingway,KABRIOLETY,328213
2022-01-01 22:51,Łona I Webber,Rozmowa,187853
2022-01-01 22:56,Łona I Webber,"Helmut, Rura!",303413
2022-01-01 22:59,Kaliber 44,Normalnie o tej porze,176210
2022-01-02 22:50,Kaliber 44,Normalnie o tej porze,320356
2022-01-02 22:50,Taco Hemingway,Deszcz Na Betonie,720
2022-01-02 22:54,TACONAFIDE,Kryptowaluty,860
2022-01-02 22:54,Pezet,Slang,182957
2022-01-02 22:57,Taco Hemingway,Luxembourg,173121
2022-01-02 22:59,SB Maffija,Brum brum,168655
2022-01-04 17:57,Bober,O co w tym chodzi?,375889
2022-01-04 19:43,SB Maffija,Brum brum,7901
2022-01-04 19:47,Taco Hemingway,Chodź,208653
2022-01-04 19:51,Miuosh,Reprezent,242416
2022-01-04 19:51,Jan-Rapowanie,Co ja wiem?,1225
2022-01-04 19:51,Sarius,Dobry chłopak,8307
2022-01-04 19:55,Kaliber 44,Normalnie o tej porze,262200
2022-01-04 19:58,Avi,Evviva l`arte,156920
2022-01-04 20:01,Pezet,Co mam powiedzieć,201826
2022-01-04 20:04,Łona I Webber,Błąd,185942
2022-01-04 20:07,Łona I Webber,Ballada o Szlachetnym Czorcie,136920
2022-01-04 20:09,Koza,Bóg niemoty,146095
2022-01-04 20:15,Otsochodzi,Nowy Kolor,2104
2022-01-04 20:15,Mata,Szmata,1256
2022-01-04 20:15,Mata,2001,8946
2022-01-04 20:15,Łona I Webber,Miej watpliwość,1681
2022-01-04 20:15,Mata,Patoreakcja,327373
2022-01-04 20:21,Bober,O co w tym chodzi?,373200
2022-01-04 20:24,Taco Hemingway,Grand Prix,184546
2022-01-04 20:28,schafter,bigos,218226
2022-01-04 20:29,Shellerini,Restart,28158
2022-01-04 20:34,Shellerini,Restart,26158
2022-01-04 20:34,schafter,bigos,218226
2022-01-05 18:42,Paluch,Szaman,7470
2022-01-05 18:44,Łona I Webber,Ballada o Szlachetnym Czorcie,136920
2022-01-05 18:44,Franz Ferdinand,Take Me Out,5461
2022-01-05 18:48,Koza,Rumcays,238016
2022-01-05 18:52,Cage The Elephant,Social Cues,219053
2022-01-05 19:05,Quebonafide,ŁAJZA,125784
2022-01-05 19:21,Quebonafide,ŁAJZA,118785
2022-01-05 19:24,Tame Impala,Feels Like We Only Go Backwards,192960
2022-01-05 19:29,Kaliber 44,Normalnie o tej porze,262200
2022-01-05 19:32,Cage The Elephant,Ain't No Rest For The Wicked - Original Version,175493
2022-01-05 19:36,The Strokes,Reptilia,219826
2022-01-05 19:44,Cage The Elephant,Dance Dance,4787
2022-01-05 19:44,The Strokes,The Adults Are Talking,6060
2022-01-05 19:44,Czarny HIFI,Niedopowiedzenia,495764
2022-01-05 19:58,Łona I Webber,Rozmowy z Cutem,155440
2022-01-05 22:47,Łona I Webber,Rozmowy z Cutem,186782
2022-01-05 22:51,Łona I Webber,Gdzie Tak Pięknie?,1282
2022-01-05 22:51,Paktofonika,Nowiny,3494
2022-01-05 22:51,Paktofonika,Nowiny,0
2022-01-05 22:51,Koza,Dostałem ten bit od Raua,0
2022-01-05 22:51,Koza,Dostałem ten bit od Raua,931
2022-01-05 22:51,Koza,Dostałem ten bit od Raua,1138
2022-01-05 22:51,Łona I Webber,"Helmut, Rura!",711
2022-01-05 22:51,schafter,blow off,73
2022-01-05 22:51,Pawbeats,Pod śniegiem,233465
2022-01-05 22:51,Łona I Webber,Kaloryfer,909
2022-01-05 22:51,MGMT,Little Dark Age,1483
2022-01-05 22:51,Paktofonika,Chwile Ulotne,1621
2022-01-05 22:51,Paktofonika,Powierzchnie tnące - Remastered Version,23
2022-01-05 22:51,Paktofonika,Powierzchnie tnące - Remastered Version,342
2022-01-05 22:51,Paktofonika,Powierzchnie tnące - Remastered Version,1052
2022-01-05 22:51,Łona I Webber,Miej watpliwość,96
2022-01-05 22:51,Łona I Webber,Miej watpliwość,831
2022-01-05 22:51,Avi,Evviva l`arte,0
2022-01-05 22:51,Avi,Evviva l`arte,847
2022-01-05 22:51,Avi,Evviva l`arte,2135
2022-01-05 22:51,TV Girl,Cigarettes out the Window,41
2022-01-05 22:51,TV Girl,Cigarettes out the Window,7856
2022-01-05 22:51,Twenty One Pilots,Chlorine,647
2022-01-05 22:51,Łona I Webber,To Nic Nie Znaczy,904
2022-01-05 22:56,Paktofonika,Nowiny,2263
2022-01-05 22:56,Paktofonika,Nowiny,2811
