"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"30",2022-12-02 15:01:00,"Andy Williams","It's the Most Wonderful Time of the Year",151.933,2022-12-02 14:58:28,2022-12-02,0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,"adult standards","medium"
"31",2022-12-02 15:04:00,"Frank Sinatra","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",155.453,2022-12-02 15:01:24,2022-12-02,0.652,0.259,2,-13.336,1,0.0595,0.903,0,0.362,0.836,142.169,"adult standards","slow"
"32",2022-12-02 15:07:00,"Shakin' Stevens","Merry Christmas Everyone",220.16,2022-12-02 15:03:19,2022-12-02,0.534,0.904,9,-3.315,1,0.0369,0.129,0,0.128,0.96,202.899,"europop","fast"
"33",2022-12-02 15:11:00,"Ariana Grande","Santa Tell Me",204.093,2022-12-02 15:07:35,2022-12-02,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,"dance pop","medium"
"34",2022-12-02 15:13:00,"Sia","Snowman",165.9,2022-12-02 15:10:14,2022-12-02,0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957,"australian dance","medium"
"35",2022-12-02 15:16:00,"Michael Bublé","Winter Wonderland",149.453,2022-12-02 15:13:30,2022-12-02,0.462,0.474,8,-5.938,1,0.0472,0.643,0,0.0812,0.387,123.648,"adult standards","medium"
"36",2022-12-02 15:19:00,"The Ronettes","Sleigh Ride",181.266,2022-12-02 15:15:58,2022-12-02,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,"adult standards","fast"
"37",2022-12-02 15:21:00,"Bing Crosby","Frosty The Snowman - Remastered 2006",133.413,2022-12-02 15:18:46,2022-12-02,0.519,0.368,7,-11.622,1,0.0796,0.617,0,0.0859,0.854,160.37,"adult standards","medium"
"38",2022-12-02 15:24:00,"Gene Autry","Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version",150.266,2022-12-02 15:21:29,2022-12-02,0.834,0.371,1,-11.99,1,0.0358,0.799,0,0.275,0.976,96.628,"adult standards","medium"
"39",2022-12-02 15:27:00,"Gene Autry","Rudolph the Red-Nosed Reindeer",186.733,2022-12-02 15:23:53,2022-12-02,0.629,0.159,8,-14.056,1,0.0495,0.883,0,0.222,0.642,142.157,"adult standards","slow"
"40",2022-12-02 15:29:00,"Frank Sinatra","Santa Claus Is Coming To Town",134.826,2022-12-02 15:26:45,2022-12-02,0.564,0.399,0,-10.378,0,0.0511,0.665,0,0.243,0.681,141.897,"adult standards","medium"
"41",2022-12-02 15:32:00,"Frank Sinatra","Silent Night - 1999 Remaster",146.293,2022-12-02 15:29:33,2022-12-02,0.252,0.118,8,-17.62,1,0.0328,0.945,6.2e-05,0.117,0.14,87.575,"adult standards","slow"
"42",2022-12-02 15:35:00,"Kelly Clarkson","Underneath the Tree",229.64,2022-12-02 15:31:10,2022-12-02,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,"dance pop","fast"
"43",2022-12-02 15:38:00,"Brenda Lee","Rockin' Around The Christmas Tree",126.266,2022-12-02 15:35:53,2022-12-02,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"adult standards","medium"
"44",2022-12-02 15:41:00,"Frank Sinatra","Have Yourself A Merry Little Christmas - Remastered 1999",206.6,2022-12-02 15:37:33,2022-12-02,0.262,0.137,8,-15.235,1,0.0344,0.913,6.74e-06,0.267,0.288,92.183,"adult standards","slow"
"45",2022-12-02 15:44:00,"Bing Crosby","White Christmas",177.48,2022-12-02 15:41:02,2022-12-02,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,"adult standards","slow"
"46",2022-12-02 15:47:00,"Nat King Cole","The Christmas Song (Merry Christmas To You)",192.16,2022-12-02 15:43:47,2022-12-02,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,"adult standards","slow"
"47",2022-12-02 15:49:00,"Johnny Mercer","Jingle Bells - 1996 Remaster",81.2,2022-12-02 15:47:38,2022-12-02,0.618,0.283,5,-15.028,1,0.137,0.917,3.4e-05,0.411,0.966,208.661,"adult standards","slow"
"48",2022-12-02 15:51:00,"Jim Reeves","Silver Bells",175.6,2022-12-02 15:48:04,2022-12-02,0.511,0.108,6,-18.132,1,0.0375,0.96,0.0219,0.109,0.388,80.316,"adult standards","slow"
"49",2022-12-02 15:55:00,"Michael Bublé","It's Beginning to Look a Lot like Christmas",207.199,2022-12-02 15:51:32,2022-12-02,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,"adult standards","slow"
"50",2022-12-02 15:58:00,"Frank Sinatra","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",155.453,2022-12-02 15:55:24,2022-12-02,0.652,0.259,2,-13.336,1,0.0595,0.903,0,0.362,0.836,142.169,"adult standards","slow"
"51",2022-12-02 16:00:00,"Bing Crosby","Mele Kalikimaka - Single Version",172.173,2022-12-02 15:57:07,2022-12-02,0.513,0.156,3,-13.668,1,0.0717,0.808,0,0.322,0.589,207.975,"adult standards","slow"
"53",2022-12-02 16:09:00,"Vince Guaraldi Trio","Christmas Time Is Here",363.226,2022-12-02 16:02:56,2022-12-02,0.367,0.122,9,-21.34,0,0.0319,0.984,4.37e-05,0.172,0.104,75.265,"adult standards","slow"
"54",2022-12-02 16:14:00,"Darren Espanto","My Grown-Up Christmas List",283.527,2022-12-02 16:09:16,2022-12-02,0.392,0.476,9,-7.454,0,0.0305,0.773,0,0.118,0.2,121.062,"opm","medium"
"55",2022-12-02 16:17:00,"Lena Horne","Let It Snow! Let It Snow! Let It Snow!",146.733,2022-12-02 16:14:33,2022-12-02,0.452,0.419,1,-11.48,1,0.0631,0.518,0,0.0442,0.673,134.218,"adult standards","medium"
"57",2022-12-02 16:24:00,"Chris Rea","Driving Home for Christmas - 2019 Remaster",241.626,2022-12-02 16:19:58,2022-12-02,0.513,0.583,9,-10.863,1,0.038,0.355,1.96e-05,0.18,0.866,180.183,"album rock","medium"
"58",2022-12-02 16:25:00,"Mykola Dmytrovych Leontovych","Carol of the Bells",85.266,2022-12-02 16:23:34,2022-12-02,0.418,0.106,8,-22.507,0,0.0448,0.994,0.0292,0.179,0.8,46.718,"post-romantic era","slow"
