"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"28",2022-12-01 10:27:00,"GOLEC UORKIESTRA","Ty i tylko ty",0,2022-12-01 10:27:00,2022-12-01,0.426,0.683,2,-6.501,0,0.186,0.0535,0.00288,0.0668,0.517,97.513,"polish pop","fast"
"29",2022-12-01 10:27:00,"Twenty One Pilots","Chlorine",0.83,2022-12-01 10:26:59,2022-12-01,0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,"modern rock","fast"
"30",2022-12-01 10:27:00,"Kwiat Jabłoni","Mogło być nic",1.12,2022-12-01 10:26:58,2022-12-01,0.573,0.634,4,-8.492,0,0.0377,0.198,5.24e-06,0.094,0.247,148.036,"polish alternative","medium"
"31",2022-12-01 10:32:00,"The Neighbourhood","Paradise",209.6,2022-12-01 10:28:30,2022-12-01,0.677,0.716,2,-5.791,0,0.0348,0.209,0.0465,0.248,0.304,83.004,"modern alternative rock","fast"
"32",2022-12-01 10:38:00,"Męskie Granie Orkiestra 2021","Nikt tak pięknie nie mówił, że się boi miłości",350.087,2022-12-01 10:32:09,2022-12-01,0.429,0.291,1,-11.322,0,0.0357,0.334,0,0.887,0.266,119.07,"polish alternative","slow"
"33",2022-12-01 10:39:00,"Led Zeppelin","Stairway to Heaven - Remaster",31.202,2022-12-01 10:38:28,2022-12-01,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,"album rock","medium"
"34",2022-12-01 10:44:00,"Imagine Dragons","Nothing Left To Say / Rocks - Medley",115.426,2022-12-01 10:42:04,2022-12-01,0.266,0.786,0,-7.332,1,0.047,0.117,6.08e-05,0.109,0.0621,107.97,"modern rock","fast"
"36",2022-12-01 13:20:00,"Juanes","La Camisa Negra",4.256,2022-12-01 13:19:55,2022-12-01,0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,"colombian pop","fast"
"37",2022-12-01 13:22:00,"Red Hot Chili Peppers","Scar Tissue",80.757,2022-12-01 13:20:39,2022-12-01,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,"alternative rock","fast"
"38",2022-12-01 13:25:00,"Red Hot Chili Peppers","Scar Tissue",135.243,2022-12-01 13:22:44,2022-12-01,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,"alternative rock","fast"
"39",2022-12-01 13:29:00,"sanah","kolońska i szlugi",235.962,2022-12-01 13:25:04,2022-12-01,0.628,0.878,0,-3.302,1,0.0231,0.00395,0.719,0.423,0.219,103.018,"polish pop","fast"
"40",2022-12-01 13:33:00,"Arctic Monkeys","Piledriver Waltz",203.88,2022-12-01 13:29:36,2022-12-01,0.443,0.865,4,-4.547,1,0.0391,0.00724,0.000116,0.468,0.474,110.008,"garage rock","fast"
"41",2022-12-01 13:36:00,"Cage The Elephant","Cold Cold Cold",214.386,2022-12-01 13:32:25,2022-12-01,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,"modern rock","fast"
"42",2022-12-01 13:40:00,"Dawid Podsiadło","Najnowszy Klip",229.666,2022-12-01 13:36:10,2022-12-01,0.719,0.673,8,-8.083,1,0.0343,0.0661,1.34e-06,0.135,0.345,94.008,"polish pop","fast"
"43",2022-12-01 13:43:00,"Rau Performance","Jak Makłowicz",179.011,2022-12-01 13:40:00,2022-12-01,0.917,0.482,2,-10.356,1,0.156,0.107,0.00489,0.0961,0.599,130.007,"polish alternative","medium"
"44",2022-12-01 13:43:00,"Cage The Elephant","Come A Little Closer",2.058,2022-12-01 13:42:57,2022-12-01,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,"modern rock","fast"
"45",2022-12-01 13:43:00,"Mrozu","Za Daleko",2.112,2022-12-01 13:42:57,2022-12-01,0.654,0.734,11,-7.085,1,0.0548,0.0342,5.52e-06,0.239,0.721,99.006,"polish alternative","fast"
"46",2022-12-01 13:46:00,"Wallows","Remember When",155.146,2022-12-01 13:43:24,2022-12-01,0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,"indie pop","fast"
"48",2022-12-01 13:51:00,"Dawid Podsiadło","Powiedz mi, że nie chcesz",211.333,2022-12-01 13:47:28,2022-12-01,0.612,0.552,9,-11.316,0,0.0297,0.332,0.0159,0.14,0.232,119.998,"polish pop","medium"
"50",2022-12-01 13:54:00,"Arctic Monkeys","Perfect Sense",167.379,2022-12-01 13:51:12,2022-12-01,0.52,0.478,4,-10.862,1,0.0276,0.61,0.00122,0.105,0.545,82.932,"garage rock","medium"
"51",2022-12-01 13:54:00,"Juanes","La Camisa Negra",1.375,2022-12-01 13:53:58,2022-12-01,0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,"colombian pop","fast"
"52",2022-12-01 13:54:00,"Kortez","Hej wy",0.832,2022-12-01 13:53:59,2022-12-01,0.367,0.418,3,-10.036,0,0.0498,0.804,0.044,0.121,0.156,94.997,"polish alternative","medium"
"53",2022-12-01 13:54:00,"Budka Suflera","Sen o dolinie",1.098,2022-12-01 13:53:58,2022-12-01,0.476,0.503,9,-8.776,0,0.14,0.00836,0.000981,0.318,0.391,151.991,"classic polish pop","medium"
"54",2022-12-01 13:54:00,"Dawid Podsiadło","millenium",0.938,2022-12-01 13:53:59,2022-12-01,0.543,0.572,0,-7.126,0,0.0337,0.246,5.92e-06,0.155,0.154,114.891,"polish pop","medium"
"55",2022-12-01 13:54:00,"Mother Mother","Free",0.821,2022-12-01 13:53:59,2022-12-01,0.583,0.901,2,-4.288,0,0.0422,0.00973,0,0.0799,0.419,92.043,"indie pop","fast"
"56",2022-12-01 13:54:00,"Imagine Dragons","Bones",0.874,2022-12-01 13:53:59,2022-12-01,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,"modern rock","fast"
