"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"1",2022-12-01 06:32:00,"TACONAFIDE","PIN",0.387,2022-12-01 06:31:59,2022-12-01,0.631,0.842,10,-6.165,0,0.2,0.476,0,0.102,0.423,169.953,"polish hip hop","fast"
"2",2022-12-01 06:36:00,"TACONAFIDE","TLC",198.506,2022-12-01 06:32:41,2022-12-01,0.729,0.542,1,-8.132,1,0.123,0.229,1.03e-06,0.324,0.34,78.529,"polish hip hop","medium"
"3",2022-12-01 06:39:00,"Koza","Chleb",162.939,2022-12-01 06:36:17,2022-12-01,0.728,0.805,2,-4.638,1,0.309,0.42,0,0.108,0.466,82.47,"polish alternative rap","fast"
"4",2022-12-01 06:40:00,"Włodi","Proces Spalania",47.092,2022-12-01 06:39:12,2022-12-01,0.412,0.9,1,-5.03,0,0.345,0.152,0,0.861,0.546,82.745,"polish hip hop","fast"
"5",2022-12-01 06:40:00,"Red Hot Chili Peppers","Under the Bridge",9.732,2022-12-01 06:39:50,2022-12-01,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,"alternative rock","medium"
"6",2022-12-01 06:44:00,"Red Hot Chili Peppers","Especially in Michigan",240.333,2022-12-01 06:39:59,2022-12-01,0.468,0.826,6,-3.701,0,0.0295,0.000858,5.01e-06,0.104,0.359,102.817,"alternative rock","fast"
"7",2022-12-01 06:47:00,"Red Hot Chili Peppers","Scar Tissue",215.906,2022-12-01 06:43:24,2022-12-01,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,"alternative rock","fast"
"9",2022-12-01 06:57:00,"Red Hot Chili Peppers","Snow (Hey Oh)",334.666,2022-12-01 06:51:25,2022-12-01,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,"alternative rock","fast"
"10",2022-12-01 07:02:00,"Red Hot Chili Peppers","Dark Necessities",302,2022-12-01 06:56:58,2022-12-01,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,"alternative rock","fast"
"11",2022-12-01 07:07:00,"Red Hot Chili Peppers","Otherside",255.373,2022-12-01 07:02:44,2022-12-01,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,"alternative rock","fast"
"12",2022-12-01 07:10:00,"Red Hot Chili Peppers","By the Way",216.933,2022-12-01 07:06:23,2022-12-01,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,"alternative rock","fast"
"13",2022-12-01 07:15:00,"Red Hot Chili Peppers","Dani California",282.16,2022-12-01 07:10:17,2022-12-01,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,"alternative rock","fast"
"14",2022-12-01 07:19:00,"Red Hot Chili Peppers","Black Summer",232.412,2022-12-01 07:15:07,2022-12-01,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,"alternative rock","fast"
"15",2022-12-01 07:21:00,"Red Hot Chili Peppers","Californication",127.467,2022-12-01 07:18:52,2022-12-01,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,"alternative rock","fast"
"16",2022-12-01 11:58:00,"Red Hot Chili Peppers","Californication",202.266,2022-12-01 11:54:37,2022-12-01,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,"alternative rock","fast"
"17",2022-12-01 12:02:00,"Red Hot Chili Peppers","The Zephyr Song",231.933,2022-12-01 11:58:08,2022-12-01,0.725,0.803,2,-4.083,1,0.0337,0.013,3.66e-05,0.0891,0.403,117.391,"alternative rock","fast"
"18",2022-12-01 12:06:00,"Red Hot Chili Peppers","Give It Away",282.906,2022-12-01 12:01:17,2022-12-01,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,"alternative rock","fast"
