"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"1","Aerosmith","free time","Dream On",0.433,2022-12-27 15:13:05,"medium","album rock",3
"2","Aerosmith","other","Dream On",0.433,2022-12-27 15:13:05,"medium","album rock",26
"3","Aerosmith","studies","Dream On",0.433,2022-12-27 15:13:05,"medium","album rock",96
"4","Alex Turner","free time","Stuck on the puzzle",0.682,2022-12-19 10:09:28,"fast","modern rock",190
"5","Alex Turner","free time","Stuck on the puzzle",0.682,2022-12-28 22:15:28,"fast","modern rock",211
"6","Alex Turner","studies","Stuck on the puzzle",0.682,2022-12-29 18:23:28,"fast","modern rock",176
"7","Alexis Ffrench","other","Have Yourself a Merry Little Christmas",0.12,2022-12-16 16:13:58,"slow","compositional ambient",93
"8","Alice Cooper","free time","Only Women Bleed",0.476,2022-12-28 15:45:29,"medium","album rock",71
"9","Alice Cooper","studies","Only Women Bleed",0.476,2022-12-28 15:45:29,"medium","album rock",170
"10","Alice In Chains","free time","Nutshell",0.561,2022-12-28 16:17:40,"medium","alternative metal",4
"11","Alice In Chains","other","Nutshell",0.561,2022-12-28 16:17:40,"medium","alternative metal",80
"12","Alice In Chains","studies","Nutshell",0.561,2022-12-28 16:17:40,"medium","alternative metal",125
"13","Alicja","free time","Kolęda Dla Nieobecnych",0.183,2022-12-16 14:36:33,"slow","polish pop",23
"14","Alicja","other","Kolęda Dla Nieobecnych",0.183,2022-12-16 14:36:33,"slow","polish pop",39
"15","Anna Serafinska","free time","Nie mówimy o Brunie",0.505,2022-12-26 16:25:55,"medium","classic polish pop",4
"16","Anthony Gonzalez","free time","Un Poco Loco",0.496,2022-12-26 19:46:07,"medium","hollywood",62
"17","Anthony Gonzalez","studies","Un Poco Loco",0.496,2022-12-26 19:46:07,"medium","hollywood",1
"18","Aphrodite's Child","free time","The Four Horsemen",0.653,2022-12-28 11:05:06,"medium","art rock",48
"19","Aphrodite's Child","studies","The Four Horsemen",0.653,2022-12-28 11:05:06,"medium","art rock",342
"20","Arctic Monkeys","free time","Anyways",0.576,2022-12-29 13:28:18,"medium","garage rock",51
"21","Arctic Monkeys","free time","Do I Wanna Know? - Live",0.77,2022-12-29 13:31:46,"fast","garage rock",5
"22","Arctic Monkeys","free time","Fluorescent Adolescent",0.813,2022-12-28 22:18:56,"fast","garage rock",155
