"","artistName","total_played","trackName","times","total_played_track","fraction_of_total"
"1","Oki",1044.01691666667,"Jakie To Uczucie?",62,155.66745,0.0482952472601576
"2","AJR",831.73485,"Bang!",27,67.8104833333333,0.0384752771668596
"3","The Beatles",763.778516666667,"Love Me Do - Remastered 2009",31,73.20805,0.0353316806706402
"4","Imagine Dragons",717.739416666667,"Bones",12,29.28995,0.0332019549136724
"5","Coldplay",563.592566666667,"Viva La Vida",8,29.9875166666667,0.0260712656343326
"6","Otsochodzi",405.983383333333,"Taka Praca",32,83.0270333333333,0.0187804120494523
"7","Taco Hemingway",318.467566666667,"Marmur",17,82.3226833333334,0.014732012126407
"8","2Pac",302.032966666667,"Changes",9,36.3652166666667,0.0139717628833622
"9","UNDADASEA",274.417833333333,"TAIFUN",26,93.1261166666667,0.0126943126130029
