"","artistName","trackName","month","day_or_night","times","total_played"
"1","'Come From Away' Band","Screech Out",6,"day",1,0.965333333333333
"2","10cc","Dreadlock Holiday",4,"day",1,4.46576666666667
"3","13th Floor Elevators","You're Gonna Miss Me (2008 Remastered Original Mono LP Version)",2,"day",1,2.44561666666667
"4","13th Floor Elevators","You're Gonna Miss Me (2008 Remastered Original Mono LP Version)",3,"day",1,2.44561666666667
"5","2 + 1","Chodź, pomaluj mój świat",3,"day",1,1.05588333333333
"6","2115","BEDOESIARA",8,"day",2,5.6476
"7","2115","BEDOESIARA",9,"day",2,5.6476
"8","2115","KETCHUP",9,"day",1,1.56543333333333
"9","2115","KETCHUP",12,"day",1,3.1357
"10","24kGoldn","Mood (feat. iann dior)",7,"day",1,2.34221666666667
"11","27.Fuckdemons","NIE WIDZISZ",10,"day",1,1.32295
"12","2Pac","2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg)",11,"day",2,7.89738333333333
"13","2Pac","All Eyez On Me (ft. Big Syke)",11,"day",8,19.7602666666667
"14","2Pac","Ambitionz Az A Ridah",11,"day",6,27.8386
"15","2Pac","Better Dayz",11,"day",1,4.29376666666667
"16","2Pac","California Love - Original Version",11,"day",7,33.5597
"17","2Pac","California Love - Original Version",12,"day",1,4.74843333333333
"18","2Pac","Can't C Me",11,"day",1,5.51266666666667
"19","2Pac","Changes",11,"day",9,36.3652166666667
"20","2Pac","Dear Mama",11,"day",4,18.3100833333333
"21","2Pac","Do For Love",11,"day",5,18.77555
"22","2Pac","Ghetto Gospel",11,"day",4,7.32681666666667
"23","2Pac","Hail Mary",11,"day",2,10.4124333333333
"24","2Pac","Hit 'Em Up - Single Version",11,"day",7,31.4068
"25","2Pac","Hit 'Em Up - Single Version",12,"day",1,5.21043333333333
"26","2Pac","How Do U Want It (ft. K-Ci & JoJo)",11,"day",1,4.79243333333333
"27","2Pac","I Get Around",11,"day",2,8.63333333333334
"28","2Pac","Keep Ya Head Up",11,"day",3,12.8782
"29","2Pac","Lil' Homies",11,"day",2,7.46576666666666
"30","2Pac","Loyal To The Game",11,"day",2,6.784
"31","2Pac","Me Against The World",11,"day",1,4.65221666666667
"32","2Pac","Only God Can Judge Me (ft. Rappin' 4-Tay)",11,"day",1,4.94843333333333
"33","2Pac","Ratha Be Ya Nigga (ft. Richie Rich)",11,"day",2,4.2329
"34","2Pac","So Many Tears",11,"day",2,7.9742
"35","2Pac","Thugz Mansion - 7 Remix",11,"day",2,8.25333333333334
"36","4 Non Blondes","What's Up?",3,"day",1,4.01263333333333
"37","4 Non Blondes","What's Up?",4,"day",1,4.92555
"38","4 Non Blondes","What's Up?",4,"night",1,4.92555
"39","4 Non Blondes","What's Up?",10,"day",3,12.6264666666667
"40","4 Non Blondes","What's Up?",12,"day",2,9.8511
"41","50 Cent","Candy Shop",4,"day",1,3.4851
"42","50 Cent","Candy Shop",8,"day",1,3.4851
"43","6c6f6669","ff9941",11,"night",1,1.9
"44","6c6f6669","ffd37e",11,"day",1,1.80768333333333
"45","90sFlav","Call me",11,"day",1,2.10416666666667
"46","A'Vista","A teraz idziemy na jednego",5,"day",1,2.87243333333333
"47","a-ha","Take on Me",7,"day",1,3.75466666666667
"48","A-Trak","Push",5,"day",3,10.67555
"49","A Touch Of Class","Around the World (La La La La La) - Radio Version",5,"day",1,3.07305
"50","A$AP Rocky","Praise The Lord (Da Shine) (feat. Skepta)",6,"day",1,3.41733333333333
"51","A_GIM","Runfunk",6,"day",1,0.5844
"52","Aari Kumar","Epiphany",4,"night",1,2.86666666666667
"53","ABBA","Dancing Queen",12,"day",1,0.50215
