"","artistName","total_played","trackName","times","total_played_track","fraction_of_total"
"1","Yung Lean",1322.94093333333,"friday the 13th",21,56.8127000000001,0.0357130816310592
"2","Cage The Elephant",990.2958,"Back Against The Wall",14,53.2746666666666,0.0267332530524883
"3","Rysy",951.501916666667,"4GET",16,37.7745833333333,0.025686003634649
"4","Black Sabbath",942.816433333333,"Sabbath Bloody Sabbath",21,106.491416666667,0.0254515371006769
"5","Alice In Chains",795.0255,"We Die Young",15,36.7553666666667,0.0214618883314269
"6","Rusina",771.3081,"BROKE",21,78.3903333333333,0.0208216318990083
"7","Pikers",767.258283333333,"Rezerwat",51,121.900383333333,0.0207123062068604
"8","Twin Peaks",669.827933333333,"Blue Coupe",13,46.3191166666667,0.0180821524673994
"9","PRO8L3M",634.37035,"Krzyk",14,51.3582333333333,0.0171249672022699
