"genres","count"
"psychedelic hip hop",50
"underground hip hop",201
"dark trap",72
"polish alternative rap",284
"polish hip hop",384
"chicago indie",47
"indie garage rock",47
"indie rock",47
"modern power pop",47
"australian reggae fusion",46
"reggae fusion",46
"atl hip hop",53
"hip hop",125
"plugg",45
"pluggnb",45
"rap",144
"modern rock",43
"punk blues",43
"rock",291
"polish trap",162
"album rock",66
"birmingham metal",40
"classic rock",125
"hard rock",91
"metal",40
"stoner rock",40
"uk doom metal",40
"polish alternative",162
"polish electronica",39
"polish indie",87
"alternative rock",122
"art rock",119
"folk rock",37
"melancholia",55
"permanent wave",109
"protopunk",37
"psychedelic rock",48
"alternative metal",36
"grunge",36
"nu metal",36
"new wave",63
"uk post-punk",63
"madchester",31
"post-punk",31
"rap motywacja",29
"polish alternative rock",28
"polish indie rock",28
"polish pop",70
"polish rock",28
"baltimore indie",27
"dream pop",27
"dreamo",27
"modern dream pop",27
"conscious hip hop",25
"east coast hip hop",24
"uk alternative hip hop",23
"uk hip hop",23
"glam rock",22
"chicago rap",19
"oxford indie",18
"drain",31
"glitchcore",31
"progressive rock",11
"symphonic rock",11
"german drill",10
"melodic rap",8
"pop",8
"r&b",8
"trap",8
"modern blues rock",6
"modern hard rock",6
"australian dance",3
"australian electropop",3
"australian indie",3
"downtempo",3
"edm",3
"german cloud rap",2
"german hip hop",2
