"","artistName","total_played","trackName","times","total_played_track","fraction_of_total"
"1","Royal Blood",1802.2123,"Lights Out",53,194.803333333333,0.154229413488722
"2","2WEI",828.840516666667,"Toxic",60,216.791083333333,0.070930370834329
"3","Badflower",760.70015,"Family",60,236.323066666667,0.0650990662838571
"4","Nothing But Thieves",674.337733333333,"Futureproof",22,71.2226833333334,0.0577083582801615
"5","Ruelle",655.115866666667,"Another World",26,78.9336166666667,0.0560633926886169
"6","Muse",653.549933333333,"Won’t Stand Down",65,213.07095,0.0559293835158006
"7","UNSECRET",588.665633333333,"Fallout",35,120.669433333333,0.050376726077148
"8","Korn",419.247366666667,"Black Is the Soul",7,23.8004666666667,0.0358782788618694
"9","Imagine Dragons",286.215883333333,"Bones",18,43.1581666666667,0.0244937335172201
