"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"1","ABBA","studies","Gimme! Gimme! Gimme! (A Man After Midnight)",0.491,2022-12-28 20:00:19,"medium","europop",30
"2","Agar Agar","other","Prettiest Virgin",0.487,2022-12-29 16:49:46,"medium","electro-pop francais",8
"3","Agar Agar","studies","Prettiest Virgin",0.487,2022-12-29 16:49:46,"medium","electro-pop francais",317
"4","Albo Inaczej","studies","Ostatnia Prosta",0.535,2022-12-29 18:32:22,"medium","polish alternative",231
"5","alt-J","studies","Breezeblocks",0.658,2022-12-29 15:52:12,"medium","indie rock",227
"6","Andy Williams","other","It's the Most Wonderful Time of the Year",0.598,2022-12-27 13:08:28,"medium","adult standards",27
"7","Andy Williams","studies","Happy Holiday / The Holiday Season",0.451,2022-12-18 20:05:23,"medium","adult standards",110
"8","Andy Williams","studies","It's the Most Wonderful Time of the Year",0.598,2022-12-27 13:08:28,"medium","adult standards",99
"9","Arab","other","Leśna piosenka",0.686,2022-12-19 21:50:58,"fast","polish alternative rap",1
"10","Arab","other","Leśna piosenka",0.686,2022-12-21 15:27:28,"fast","polish alternative rap",17
"11","Arab","other","Pianista ze szlugiem",0.511,2022-12-21 15:02:03,"medium","polish alternative rap",2
"12","Arab","studies","Ballada",0.375,2022-12-21 16:31:21,"medium","polish alternative rap",147
"13","Arab","studies","Leśna piosenka",0.686,2022-12-21 15:27:28,"fast","polish alternative rap",251
"14","Arab","studies","Letnia piosenka",0.29,2022-12-21 15:59:37,"slow","polish alternative rap",183
"15","Arab","studies","Momenty (prod. Louis Villain)",0.514,2022-12-21 15:43:11,"medium","polish alternative rap",174
"16","Arab","studies","Pianista ze szlugiem",0.511,2022-12-21 15:02:03,"medium","polish alternative rap",280
"17","Arab","studies","Sorrow",0.812,2022-12-21 14:51:29,"fast","polish alternative rap",132
"18","asthma","other","centrala",0.772,2022-12-27 18:34:45,"fast","polish alternative rap",63
"19","asthma","other","charakterystyka bloku",0.515,2022-12-26 22:37:28,"medium","polish alternative rap",63
"20","asthma","other","charakterystyka bloku",0.515,2022-12-27 14:58:28,"medium","polish alternative rap",55
"21","asthma","other","charakterystyka bloku",0.515,2022-12-27 19:37:28,"medium","polish alternative rap",2
"22","asthma","studies","centrala",0.772,2022-12-26 23:28:45,"fast","polish alternative rap",139
"23","asthma","studies","centrala",0.772,2022-12-27 18:34:45,"fast","polish alternative rap",64
"24","asthma","studies","charakterystyka bloku",0.515,2022-12-26 22:37:28,"medium","polish alternative rap",123
"25","asthma","studies","charakterystyka bloku",0.515,2022-12-27 14:58:28,"medium","polish alternative rap",136
"26","asthma","studies","charakterystyka bloku",0.515,2022-12-27 17:07:13,"medium","polish alternative rap",46
"27","asthma","studies","charakterystyka bloku",0.515,2022-12-27 19:37:28,"medium","polish alternative rap",140
"28","Avi","free time","Módl się za nami",0.701,2022-12-18 16:06:29,"fast","polish hip hop",119
"29","Avi","free time","Módl się za nami",0.701,2022-12-18 16:10:29,"fast","polish hip hop",123
"30","Avi","other","Módl się za nami",0.701,2022-12-18 16:10:29,"fast","polish hip hop",3
"31","Baba Hassan","other","Dzieciaki z Ulicy",0.499,2022-12-21 15:38:13,"medium","polish hip hop",48
"32","Baba Hassan","studies","Dzieciaki z Ulicy",0.499,2022-12-21 15:38:13,"medium","polish hip hop",22
"33","Bedoes 2115","other","Chłopaki nie płaczą",0.519,2022-12-29 17:02:28,"medium","polish hip hop",108
"34","Bedoes 2115","studies","Chłopaki nie płaczą",0.519,2022-12-29 17:02:28,"medium","polish hip hop",96
