Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
5001,Kindergarten Teacher Weighs Nearly 700 Pounds | Too Large,https://www.youtube.com/watch?v=rc2YPurIHik,TLC,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw,2022-01-09T14:56:53.538Z,rc2YPurIHik,0 days 00:11:32,7641317,110261,0,10695,7310000
5002,I SURVIVED LIGMA,https://www.youtube.com/watch?v=pWKp6oQ_v_0,Ceeday,https://www.youtube.com/channel/UCZyxY8Q7xgUCXfFViWkjrSw,2022-01-09T14:48:18.860Z,pWKp6oQ_v_0,0 days 00:09:09,15585625,456672,0,111335,7380000
5003,Scenes that will break your heart... | How I Met Your Mother,https://www.youtube.com/watch?v=qvkLRz8HTfE,ReliqueOz23,https://www.youtube.com/channel/UCT86iu6vXFXcSX-GvzB33QQ,2022-01-09T14:38:12.594Z,qvkLRz8HTfE,0 days 00:05:45,1540226,36189,0,861,35000
5004,iPhone 12 w 2022 - Warto Go Kupić? Czy Lepiej Wybrać Inny Model?,https://www.youtube.com/watch?v=gnY0pSk8bOU,Mateusz Krawczyk,https://www.youtube.com/channel/UCvb_3WrGri7dqKP2j-EvcDA,2022-01-09T14:35:16.587Z,gnY0pSk8bOU,0 days 00:10:57,105173,2414,0,211,391000
5005,Szeryf z ciągnika siodłowego wyhamowuje osobówkę za jazdę z dozwoloną prędkością. STOP PIRAT,https://www.youtube.com/watch?v=JJHulZkEVGs,STOP PIRAT,https://www.youtube.com/channel/UC0RMGb1GX8bEy4yAFAi-2bg,2022-01-09T14:35:16.297Z,JJHulZkEVGs,0 days 00:00:55,32494,234,0,142,21800
5006,Stop Cham #760 - Niebezpieczne i chamskie sytuacje na drogach,https://www.youtube.com/watch?v=wPubfNpOcBw,STOP CHAM,https://www.youtube.com/channel/UCJ0VFYHC4J6KhC_ohzrJ0eA,2022-01-09T10:25:55.286Z,wPubfNpOcBw,0 days 00:14:28,223191,3527,0,1460,506000
5007,Samsung Galaxy Note Slide VIDEO HANDS ON LOOK!,https://www.youtube.com/watch?v=Nx3s0KJ1Zzo,XEETECHCARE,https://www.youtube.com/channel/UCTqMx8l2TtdZ7_1A40qrFiQ,2022-01-09T10:24:55.993Z,Nx3s0KJ1Zzo,0 days 00:04:01,219442,5139,0,227,1690000
5008,Jedyny taki iPhone 7 - 512GB pamięci!,https://www.youtube.com/watch?v=QdeXm5_rfnI,Rafal Bielawski,https://www.youtube.com/channel/UCMsi03EhTUsUs2OtPus6XDQ,2022-01-09T01:38:19.693Z,QdeXm5_rfnI,0 days 00:13:58,44043,1531,0,192,53100
5009,Michael Phelps dolphin kicks,https://www.youtube.com/watch?v=CHXVNkmYPbs,Chris Zajdziniski,https://www.youtube.com/channel/UCSZbWjOByKlf7aYlyjB7jcg,2022-01-09T01:37:17.066Z,CHXVNkmYPbs,0 days 00:00:53,4288233,39231,0,1239,971
5010,5 Suppressed Scars...,https://www.youtube.com/watch?v=Z5BvwSZqDDo,Ceeday,https://www.youtube.com/channel/UCZyxY8Q7xgUCXfFViWkjrSw,2022-01-09T01:29:57.918Z,Z5BvwSZqDDo,0 days 00:07:40,14701398,284367,0,35813,7380000
