title;titleUrl;channel;channelUrl;time;id;duration;views;likes;favorites;comments;channelSubscribers
Where’s My Money?🥶💵 // #ozark #viral #shorts;https://www.youtube.com/watch?v=tHJ2hP15zpk;PB The King;https://www.youtube.com/channel/UCzssMu0qOs3AtEMTu0hraqw;2022-10-20T18:58:18.370Z;;;;;;;
""" Never Forget What You Are "" - Tyrion Lannister";https://www.youtube.com/watch?v=yR0wY2192zQ;Psycho Legends;https://www.youtube.com/channel/UCXwN4a6SZNuZMRX8RjsJ6fw;2022-10-20T18:58:08.138Z;yR0wY2192zQ;0 days 00:00:51;467905;49770;0;128;87100
CO ZROBIŁBY @SlawomirMentzen GDYBY MIAŁ 18 LAT? [SUBSKRYBUJ];https://www.youtube.com/watch?v=OdNtSIjw_r8;Kuba Midel;https://www.youtube.com/channel/UC6SinQiw2eDU6k9tEXpZv9g;2022-10-20T18:57:12.712Z;OdNtSIjw_r8;0 days 00:00:59;1021520;19414;0;358;264000
Najemca NIE PŁACI czynszu za MIESZKANIE? – Phil Konieczny #agentspecjalny #short #shorts;https://www.youtube.com/watch?v=RkEa-yQXJkE;Grzegorz Kusz;https://www.youtube.com/channel/UCTBy_z37wi6doWGkhql3VSQ;2022-10-20T18:57:08.923Z;RkEa-yQXJkE;0 days 00:00:38;1233047;27355;0;1411;264000
Albert Einstein quotes #shorts #viral;https://www.youtube.com/watch?v=xL4fbQvV0o8;The Top Quotes;https://www.youtube.com/channel/UCschmkq4FN0PFUT66yk0Tvw;2022-10-20T18:57:07.563Z;xL4fbQvV0o8;0 days 00:00:09;1529;47;0;3;637
I'm not threatening the king sir I am educating my nephew|Tyrion & ser meryn|GAME OF THRONES|;https://www.youtube.com/watch?v=UfOEvuh6_hk;All About Series;https://www.youtube.com/channel/UC_TOarJhHXmJR9GRXNoppog;2022-10-20T18:56:07.551Z;UfOEvuh6_hk;0 days 00:00:59;7904478;553537;0;2007;23000
Ben Shapiro vs Piers Morgan intense debate on Gun control: The moment that made Ben famous...;https://www.youtube.com/watch?v=s8vxotXDqIc;The Psychologist;https://www.youtube.com/channel/UCgaQTZNWEA_Li8PLnsQUHKw;2022-10-20T18:55:02.421Z;;;;;;;
F.R.I.E.N.D.S || Monica: Chinadolor Bong, come on, we steal that TV.. #shorts #friends #funny;https://www.youtube.com/watch?v=in7lRptGyIg;Sitcom hub;https://www.youtube.com/channel/UCcwFMBgoVDFe7_qNwXv-J9A;2022-10-20T18:54:08.633Z;in7lRptGyIg;0 days 00:00:53;1189775;46031;0;357;87800
Jordan Peterson destroys feminist #shorts;https://www.youtube.com/watch?v=lzIbj88gZa8;Overflowing Wisdom;https://www.youtube.com/channel/UCEtjFMQIl1vF5LaOVVe2iPw;2022-10-20T18:54:00.600Z;lzIbj88gZa8;0 days 00:00:59;11660688;691647;0;9866;369000
I shall have to acquire some sons & grandsons| Game of thrones|;https://www.youtube.com/watch?v=-zq1sD1OKmY;Saldo;https://www.youtube.com/channel/UCfMnh2SEWym0DJsWq4pY0mA;2022-10-20T18:53:28.890Z;;;;;;;
You're Aemon Targaryen | ❄️ Jon Snow X Maester Aemon ❄️ | Game of Thrones;https://www.youtube.com/watch?v=rbkWrIQ4_Jo;One Perfect Moment;https://www.youtube.com/channel/UCYZqtziEeN3xW1LMCJMHPCw;2022-10-20T18:52:34.188Z;rbkWrIQ4_Jo;0 days 00:00:51;2408213;111758;0;648;318000
UNBELIEVABLE Performance! 🤩 | Man Utd 2-0 Tottenham | Highlights;https://www.youtube.com/watch?v=O0W4e7d4VvE;Manchester United;https://www.youtube.com/channel/UC6yW44UGJJBvYTlfC7CRg2Q;2022-10-20T18:49:52.440Z;O0W4e7d4VvE;0 days 00:02:32;7452342;151541;0;4281;7160000
Resumen de Elche CF vs Real Madrid (0-3);https://www.youtube.com/watch?v=dNWO1vKQW4o;LaLiga Santander;https://www.youtube.com/channel/UCTv-XvfzLX3i4IGWAm4sbmA;2022-10-20T18:45:00.696Z;dNWO1vKQW4o;0 days 00:03:27;2478895;54305;0;1471;8730000
The Greatest Advice You Will Ever Receive | Jordan Peterson Motivation;https://www.youtube.com/watch?v=UpCBIF1Yl4k;Motivation Madness;https://www.youtube.com/channel/UCHbq_l1qnuomfJCYQTsWf_Q;2022-10-20T15:35:33.785Z;UpCBIF1Yl4k;0 days 00:10:30;4665846;125282;0;3804;3330000
