title;titleUrl;channel;channelUrl;time;id;duration;views;likes;favorites;comments;channelSubscribers
2022, in 7 minutes;https://www.youtube.com/watch?v=PLDFgKzWy3o;Vox;https://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA;2023-01-03T21:45:42.714Z;PLDFgKzWy3o;0 days 00:07:25;4550610;273992;0;12740;11000000
Obejrzyj, a nigdy nie przestaniesz czytać książek;https://www.youtube.com/watch?v=gTUmod-Kkx0;Nauka. To Lubię;https://www.youtube.com/channel/UCtcUMxUSMWUNBfOaKUv5cjg;2023-01-03T17:54:20.959Z;gTUmod-Kkx0;0 days 00:10:57;558279;22250;0;1253;653000
Tak ciepło? To pogoda czy klimat?;https://www.youtube.com/watch?v=-YBXO7iN8pQ;Nauka. To Lubię;https://www.youtube.com/channel/UCtcUMxUSMWUNBfOaKUv5cjg;2023-01-03T17:25:40.609Z;-YBXO7iN8pQ;0 days 00:00:40;64541;2961;0;173;653000
Professional Teaching│Léon 1994;https://www.youtube.com/watch?v=ASG_133N3Yc;That Movie Recap;https://www.youtube.com/channel/UCP6Z6WAGiSECJHxRmu6jgKA;2023-01-03T17:25:39.142Z;ASG_133N3Yc;0 days 00:00:44;7050057;415575;0;3233;100000
Sneako EXPOSES the arrest🤯;https://www.youtube.com/watch?v=buk97_OMl2w;The Real World;https://www.youtube.com/channel/UCbh7OWkDITIGm_HsOdrzMZw;2023-01-03T17:25:37.745Z;buk97_OMl2w;0 days 00:00:18;417368;17637;0;213;50900
Sigma;https://www.youtube.com/watch?v=7nfcROMMuIA;Bereket;https://www.youtube.com/channel/UCaHqkiEppDr7NvSChfH7vcw;2023-01-03T17:25:25.655Z;7nfcROMMuIA;0 days 00:00:15;15479317;682345;0;7995;34900
He was ready 😝;https://www.youtube.com/watch?v=JucoDBCCAqw;Bodybuilding Priest;https://www.youtube.com/channel/UCAXy1iNHQEcG7mvmkxIn6GQ;2023-01-03T17:25:24.563Z;JucoDBCCAqw;0 days 00:00:13;38525591;641268;0;18193;1850000
PARKOUR Athlete tries GYMNASTIC Ariel😳;https://www.youtube.com/watch?v=kwkDB5gBN2I;Luke Mizel;https://www.youtube.com/channel/UClCFtC7ir59eUWl_2LlCbYw;2023-01-03T17:25:21.674Z;kwkDB5gBN2I;0 days 00:00:51;7763616;369726;0;1122;99900
Lionel Messi - The Football God | Official Movie;https://www.youtube.com/watch?v=2KenX1kH5e4;AJcompsHD;https://www.youtube.com/channel/UC62U7dHVX20h0oBPbZ-xJAg;2023-01-03T17:22:49.620Z;2KenX1kH5e4;0 days 00:24:03;2060628;54102;0;1885;296000
Bukayo Saka is really strong...;https://www.youtube.com/watch?v=OI3-D_rwh8g;VERIF Football;https://www.youtube.com/channel/UCHrIaZd7XV-5wNJ7fFC66fg;2023-01-03T17:19:59.339Z;OI3-D_rwh8g;0 days 00:02:27;409279;8546;0;885;84200
Operacja Just Cause. Inwazja USA na Panamę. Dlaczego USA zdecydowały się obalić Manuela Noriegę?;https://www.youtube.com/watch?v=YlSB0SpLLGM;Powojnie;https://www.youtube.com/channel/UC1t8ZKKaEXKyE86ga4xFFTg;2023-01-03T17:19:25.483Z;YlSB0SpLLGM;0 days 00:24:56;147370;5276;0;457;191000
Resumen de Real Valladolid vs Real Madrid (0-2);https://www.youtube.com/watch?v=WaQMD3sYZiw;LaLiga Santander;https://www.youtube.com/channel/UCTv-XvfzLX3i4IGWAm4sbmA;2023-01-03T17:11:43.487Z;WaQMD3sYZiw;0 days 00:03:01;2413990;43103;0;1405;8730000
P0NSTAR reveals best and worst things!;https://www.youtube.com/watch?v=9Yihmk5GC4I;Masculinization ;https://www.youtube.com/channel/UCA-zAsXoJSZ3vWhg5ap9-AQ;2023-01-03T16:05:14.519Z;9Yihmk5GC4I;0 days 00:00:33;8966893;446487;0;2156;4920
Nowy selekcjoner? 🧐 #FootTruck #trener #Nakoulma #piłkanożna #shorts;https://www.youtube.com/watch?v=nV7xEszLa3Y;Foot Truck;https://www.youtube.com/channel/UCLfyph6Lt4hj8ER-0uPBS5g;2023-01-03T16:05:03.783Z;nV7xEszLa3Y;0 days 00:00:11;148248;2066;0;39;202000
Mike Tyson doesn’t understand Aikido 😂;https://www.youtube.com/watch?v=nE_DSsrJ-xQ;Fighting Centre;https://www.youtube.com/channel/UCpshxsDVirv_tuyQmiKfDjA;2023-01-03T16:04:30.244Z;nE_DSsrJ-xQ;0 days 00:00:33;17655168;718692;0;4141;660000
Erling Haaland everybody👏🏽❤️True role model‼️ #football #respect #shorts #viral;https://www.youtube.com/watch?v=9t4oSmriRzc;Rising Ballers;https://www.youtube.com/channel/UCOlRpr6KnYRFSERY5wLUc9Q;2023-01-03T16:04:21.221Z;9t4oSmriRzc;0 days 00:00:09;12380325;296467;0;2503;124000
mr. producer on his mindless purchase 🥲;https://www.youtube.com/watch?v=r43G1n-oDjM;CobiBobi;https://www.youtube.com/channel/UCVrbiYoRZYw0YmUHH6hH57A;2023-01-03T16:03:20.467Z;r43G1n-oDjM;0 days 00:01:00;12934078;1039088;0;9169;51000
Jordan Peterson‘s opinion about Harry styles and Andrew Tate !  #shorts;https://www.youtube.com/watch?v=xfMbesXH_DU;AI Jordan Peterson;https://www.youtube.com/channel/UCXW0U5e1fTabV47CsSZ4cDQ;2023-01-03T16:03:00.601Z;xfMbesXH_DU;0 days 00:00:20;2041128;59686;0;1731;5520
Magnus Carlsen Supremacy #shorts;https://www.youtube.com/watch?v=LTIYbrLogvY;ChessBase India;https://www.youtube.com/channel/UCIsEhwBMPkRHsEgqYAPQHsA;2023-01-03T16:02:56.744Z;LTIYbrLogvY;0 days 00:00:45;3406872;218860;0;602;1060000
Peter got the quagmire virus 😂. Funny moments from family guy.#familyguy;https://www.youtube.com/watch?v=6XA2ru6p3YI;Daily dose of family guy;https://www.youtube.com/channel/UCG2raI02KzSeVoOMFU2O-gw;2023-01-03T16:02:15.319Z;6XA2ru6p3YI;0 days 00:00:38;8418651;626483;0;1471;163000
Celebrities who got normal jobs after fame. Tiktok aliciahamilton2001;https://www.youtube.com/watch?v=nJYK7aVQvYI;Celebrities Zone;https://www.youtube.com/channel/UCiDnLimdqPqhHhtTg-i8WRA;2023-01-03T16:01:42.936Z;nJYK7aVQvYI;0 days 00:00:32;11617165;691003;0;1974;268000
F.R.I.E.N.D.S || Joey: Hey Everybody! Uh, I'd Like You To Meet Janine. #shorts #friends #funny;https://www.youtube.com/watch?v=n96UdS-VKYI;Sitcom hub;https://www.youtube.com/channel/UCcwFMBgoVDFe7_qNwXv-J9A;2023-01-03T16:01:42.138Z;n96UdS-VKYI;0 days 00:01:00;1617204;111200;0;175;87400
The biggest scandal in Football (EVER) 😳;https://www.youtube.com/watch?v=cDTt3Ann2iA;Barca Legion;https://www.youtube.com/channel/UCqSJc3nMNcA90MwnzgA2mFA;2023-01-03T16:01:41.058Z;cDTt3Ann2iA;0 days 00:00:35;2259000;90396;0;1286;214000
Sigma attracts to escape.;https://www.youtube.com/watch?v=cD4ks0aRq-w;masteroogwgay shorts;https://www.youtube.com/channel/UC6fxxSnz9WV3SUMhHHduu_A;2023-01-03T16:01:21.157Z;cD4ks0aRq-w;0 days 00:00:20;86935974;4949890;0;16504;1210000
IMPOSSIBLE PYRAMID. HOW? #joerogan #shorts;https://www.youtube.com/watch?v=PBK3D28NJEY;clipmind;https://www.youtube.com/channel/UCputChyume_xO1rJt3zbDMQ;2023-01-03T16:00:22.718Z;PBK3D28NJEY;0 days 00:00:52;6953900;351173;0;6782;350000
Walt Becomes Heisenberg 🥶 || Breaking Bad;https://www.youtube.com/watch?v=wA4h4pAYGLY;HIG Films;https://www.youtube.com/channel/UChIlZCjmf3XGVJS_XslvAxw;2023-01-03T15:59:39.696Z;wA4h4pAYGLY;0 days 00:00:43;1893876;166835;0;530;50800
Bill Burr | Hitler Makes Me Want To Learn German #shorts;https://www.youtube.com/watch?v=NMR3vIZGYZM;Comedy Corner;https://www.youtube.com/channel/UC9BrJD0wOfMqwgE8TdU29zw;2023-01-03T14:22:28.270Z;NMR3vIZGYZM;0 days 00:00:58;9514952;695813;0;6928;906000
He Forgot About US Bombs;https://www.youtube.com/watch?v=kZ3H9DM3eak;Elusive Truths;https://www.youtube.com/channel/UC0uPor-bT_4oYrKciXhIODw;2023-01-03T14:21:37.562Z;kZ3H9DM3eak;0 days 00:00:59;7143001;320198;0;9310;74700
Massive recency bias😤;https://www.youtube.com/watch?v=jri0zJu7MLw;Foootcomp;https://www.youtube.com/channel/UCiB0PkxMSXhHreH2PwElSDg;2023-01-03T14:21:22.710Z;jri0zJu7MLw;0 days 00:00:22;6277287;319586;0;6693;14600
Where Dwight? | The Office US. | #shorts;https://www.youtube.com/watch?v=ZnDjdX1KRnA;FunVids Shorts;https://www.youtube.com/channel/UCIYpImMe1BAR5UjPfq6ylcg;2023-01-03T14:21:22.400Z;;;;;;;
Sales Call - Office US;https://www.youtube.com/watch?v=rR-D5nhwUag;PrestigeWorldwideShorts;https://www.youtube.com/channel/UCnukHyWvCA0j7FdUs4RCS_Q;2023-01-03T14:21:21.935Z;rR-D5nhwUag;0 days 00:00:55;3132813;224329;0;190;61200
Spiderman vs Zendaya and bread ⚠️SPOILER ALERT⚠️ #shorts #edit #spiderman;https://www.youtube.com/watch?v=iXkCZIZaVxM;MAD MOVIE;https://www.youtube.com/channel/UCdsvET-GPD49gQxI9OswGnQ;2023-01-03T13:27:27.101Z;iXkCZIZaVxM;0 days 00:00:45;2930683;212371;0;414;26000
How To Time Travel Explained By Neil Degrasse Tyson 🤯⌛️;https://www.youtube.com/watch?v=Dqtcwdu42jo;Future Curiosity;https://www.youtube.com/channel/UCXIKbPYyn91yEIRnsPvt51A;2023-01-03T13:26:49.551Z;Dqtcwdu42jo;0 days 00:00:41;4650384;299612;0;3687;5760
Game Night - Pictionary 😂 #shorts #comedy #letsplay #funnyclips #bigbangtheory #pictionary #games;https://www.youtube.com/watch?v=m3bPkXNA9dc;Donald.NewsHD;https://www.youtube.com/channel/UCE_q70MED7pOj7I9rnPoYAA;2023-01-03T13:22:31.015Z;m3bPkXNA9dc;0 days 00:00:59;7062470;685492;0;630;20900
",""Never mess with old-man,"" #shorts";https://www.youtube.com/watch?v=VC9xPrycftY;enes Luciano;https://www.youtube.com/channel/UCMhe8jmac-tWKU0Vj_OXDvA;2023-01-03T12:42:50.347Z;VC9xPrycftY;0 days 00:00:59;36950457;1816540;0;8715;149000
Mormont is spying on her for us! | 🔥 Varys X Pycelle X Cersei 🔥 | Game of Thrones;https://www.youtube.com/watch?v=NoScsZDJtP4;One Perfect Moment;https://www.youtube.com/channel/UCYZqtziEeN3xW1LMCJMHPCw;2023-01-03T12:42:47.479Z;NoScsZDJtP4;0 days 00:00:35;613854;37210;0;170;318000
Peter in prison 😂 #shorts;https://www.youtube.com/watch?v=qZ3EECWOovs;Family Boy;https://www.youtube.com/channel/UCrsfCYw9x3-4F08tOyhXx_A;2023-01-03T12:42:41.333Z;qZ3EECWOovs;0 days 00:00:57;4835356;496052;0;519;65100
Jesse﹠Skinny Meeting With Tuco 😬 || Breaking Bad;https://www.youtube.com/watch?v=RoEG_wSAv-E;HIG Films;https://www.youtube.com/channel/UChIlZCjmf3XGVJS_XslvAxw;2023-01-03T12:41:46.979Z;RoEG_wSAv-E;0 days 00:00:54;3376540;245757;0;465;50800
He’s so strong he can lift a car 😱;https://www.youtube.com/watch?v=IpcMhnaniNA;Omar Raja - ESPN;https://www.youtube.com/channel/UCx18ywTcohtS9lpNXt8noWQ;2023-01-03T12:41:34.631Z;IpcMhnaniNA;0 days 00:00:28;10646303;463721;0;2230;5430000
The Big Bang Theory | Penny: You, A Grown Man Fainting At The Sight Of A. #shorts #thebigbangtheory;https://www.youtube.com/watch?v=5FkKTOVBFvA;Sitcom Hub;https://www.youtube.com/channel/UC5CYHexPHhBavBtAnVWLQag;2023-01-03T12:40:45.151Z;5FkKTOVBFvA;0 days 00:00:50;3158749;254257;0;671;117000
Rio Ferdinand Finally Admits Messi Is The GOAT Over Ronaldo! 💔😱;https://www.youtube.com/watch?v=5Pzs7hYXaH8;HXNZ;https://www.youtube.com/channel/UCpsZG0gHplZHjHKc4aR0Vhw;2023-01-03T12:40:27.438Z;5Pzs7hYXaH8;0 days 00:00:30;1143564;42141;0;1407;1680
MOJA NAJWIĘKSZA WPADKA KOMENTATORSKA #shorts;https://www.youtube.com/watch?v=q4uq2RX5_3Q;Tomasz Ćwiąkała;https://www.youtube.com/channel/UCEm0MAqM_Jsyq_iDvJ8H34w;2023-01-03T12:37:20.781Z;q4uq2RX5_3Q;0 days 00:00:56;202635;10414;0;91;161000
Lionel Messi revenge is sweet#shorts;https://www.youtube.com/watch?v=HM4RGg45kAw;Alvins Audi;https://www.youtube.com/channel/UCcKlbixN7Y18urFmHyg6LXQ;2023-01-03T12:36:59.354Z;HM4RGg45kAw;0 days 00:00:24;31392404;868964;0;1768;475000
Donna being Donna 🤣 #shorts #series #viral #suits #netflix #harvey #louislitt #donna;https://www.youtube.com/watch?v=J1yHLYzZ-eI;SScenesTV;https://www.youtube.com/channel/UClt3gHGQNieQcfxiuwlXuEA;2023-01-03T12:36:56.885Z;J1yHLYzZ-eI;0 days 00:00:42;2184025;124183;0;143;11700
When you know your own limits 😅 #shorts;https://www.youtube.com/watch?v=HgHxt_2QsKE;Premier League;https://www.youtube.com/channel/UCG5qGWdu8nIRZqJ_GgDwQ-w;2023-01-03T12:36:53.749Z;HgHxt_2QsKE;0 days 00:00:09;3954524;88246;0;1126;3590000
