Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
4680,Rozwinięcie Laplace’a  - metoda na obliczenie wyznacznika,https://www.youtube.com/watch?v=P5LJrOn6E9s,Matemaks,https://www.youtube.com/channel/UCxwq89z7GG6aWh29cUFF81A,2022-01-13T17:00:10.029Z,P5LJrOn6E9s,0 days 00:07:28,224889,2302,0,48,376000
4681,Oblicz wyznaczniki - zadanie,https://www.youtube.com/watch?v=TGY6KuTi_5I,Matemaks,https://www.youtube.com/channel/UCxwq89z7GG6aWh29cUFF81A,2022-01-13T16:57:39.231Z,TGY6KuTi_5I,0 days 00:03:07,100875,777,0,14,376000
4682,Digital Notes vs Handwriting Notes (which should you do?),https://www.youtube.com/watch?v=Ict0-SCMpqw,Kharma Medic,https://www.youtube.com/channel/UCeoU2maQX8JiQ9DTuhOVz5g,2022-01-13T15:51:12.070Z,Ict0-SCMpqw,0 days 00:14:39,704607,20951,0,535,1070000
4683,"Tom Holland, Zendaya & Jacob Batalon Answer MORE of the Web's Most Searched Questions | WIRED",https://www.youtube.com/watch?v=iuOYz8zt9J4,WIRED,https://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,2022-01-13T15:45:40.542Z,iuOYz8zt9J4,0 days 00:13:45,14147067,502004,0,9613,10000000
4684,MAMA WJECHAŁA DO POKOJU NA MECZU SILVERÓW 😂,https://www.youtube.com/watch?v=zSaJpF9XnZo,izak LIVE,https://www.youtube.com/channel/UCSeqSPSJDl0EXezzjJrwQNg,2022-01-13T15:42:55.217Z,zSaJpF9XnZo,0 days 00:54:40,238845,16150,0,681,2160000
4685,Co jest nie tak z tym prawym pasem? Okupanci lewego pasa oraz cwaniacy łamiący przepisy.,https://www.youtube.com/watch?v=n29aJfZ0WpY,Wojciech Zawada - Jedź bezpiecznie ,https://www.youtube.com/channel/UC48n0NH3mpishehewEx-YjQ,2022-01-13T15:41:22.279Z,n29aJfZ0WpY,0 days 00:01:42,5927,80,0,180,970
4686,Dual Wieldy Boi,https://www.youtube.com/watch?v=aMNRWW4cfIo,Ceeday,https://www.youtube.com/channel/UCZyxY8Q7xgUCXfFViWkjrSw,2022-01-13T15:27:24.594Z,aMNRWW4cfIo,0 days 00:13:17,21135854,253758,0,24455,7380000
4687,First look at NEW iPad Mini!!! #shorts,https://www.youtube.com/watch?v=-5gR3Bakfqs,iJustine,https://www.youtube.com/channel/UCey_c7U86mJGz1VJWH5CYPA,2022-01-13T15:26:19.663Z,-5gR3Bakfqs,0 days 00:00:13,1255823,39747,0,335,7080000
4688,An Android Fanboy Switched to iPhone 13,https://www.youtube.com/watch?v=RJczlZCBrUg,TechWiser,https://www.youtube.com/channel/UCdp6GUwjKscp5ST4M4WgIpw,2022-01-13T13:03:05.570Z,RJczlZCBrUg,0 days 00:11:32,846718,35246,0,2081,1200000
4689,Top 5: Najwyższe noty za styl w historii skoków narciarskich na Igrzyskach Olimpijskich,https://www.youtube.com/watch?v=hS4K7cbd9BY,Eurosport Polska,https://www.youtube.com/channel/UC_pkfygi0DKht_Cc0Ca42Fw,2022-01-13T12:35:32.115Z,hS4K7cbd9BY,0 days 00:03:49,79818,1587,0,92,115000
4690,Reklama Wzorów Viete'a,https://www.youtube.com/watch?v=9B5GO5udbYU,PATOMATMA,https://www.youtube.com/channel/UCH4NktDdsiUbZtUYooz6mjA,2022-01-13T12:33:22.960Z,9B5GO5udbYU,0 days 00:01:23,59662,3478,0,252,102000
4691,Midwest Nice-Off #Shorts,https://www.youtube.com/watch?v=wGz3SJe5d1w,Charlie Berens,https://www.youtube.com/channel/UConQeJRfaLwJ9LbXBS5nhxQ,2022-01-13T12:17:16.928Z,wGz3SJe5d1w,0 days 00:00:59,43872360,3218406,0,8895,1690000
4692,A Keyboard That Is Only P's #shorts,https://www.youtube.com/watch?v=SsDyNOB1hZs,Game Changer Shorts,https://www.youtube.com/channel/UCTcw8GqWQlFcc6ioeJQOMAQ,2022-01-13T12:16:27.659Z,SsDyNOB1hZs,0 days 00:00:50,25114065,2091900,0,8300,1650000
4693,When 16y olds know most country flags,https://www.youtube.com/watch?v=2NKh_W9msWU,Lingualizer,https://www.youtube.com/channel/UCpeSv0N9tbe2V5fLMVrlodA,2022-01-13T12:15:36.644Z,2NKh_W9msWU,0 days 00:00:58,21894903,1479977,0,5993,1800000
4694,Told the boys to send a CREDIT b3r3 t,https://www.youtube.com/watch?v=o53K2zCIoa8,Jolly World,https://www.youtube.com/channel/UCFpGos5ZTjK7xiAXzLMls9Q,2022-01-13T12:14:59.917Z,o53K2zCIoa8,0 days 00:00:38,28031366,2167069,0,9716,333000
4695,pretending to hide a girl in the bathroom prank #shorts,https://www.youtube.com/watch?v=UMIJFDK8MM4,Sam and Monica,https://www.youtube.com/channel/UC4a2Z3putg5S1F7cfqovwhw,2022-01-13T12:13:48.457Z,UMIJFDK8MM4,0 days 00:00:38,17770357,1044803,0,2860,1250000
4696,Car hit from backside 😱 || Dashcam Accident #shorts #trending #driving #respect  #accidentshorts,https://www.youtube.com/watch?v=1irspzPKiqc,THE BEST SHORTS,https://www.youtube.com/channel/UCaEUJKllmZghG-c8cBNPFVg,2022-01-13T12:13:19.167Z,1irspzPKiqc,0 days 00:00:31,582,2,0,0,62
4697,Kid Decides To Baptize Himself After Too Excited,https://www.youtube.com/watch?v=pQaOKau5eaY,RM Videos,https://www.youtube.com/channel/UCdAeRRjq6vjnAkxatZVxxxg,2022-01-13T12:13:13.944Z,pQaOKau5eaY,0 days 00:00:40,65467039,4129214,0,65881,3190000
4698,Good karma? Can’t believe this happened.,https://www.youtube.com/watch?v=BM-MoTjeMSY,Liv Harland,https://www.youtube.com/channel/UCnHs7bWcmt4Cpzg4euhG2zw,2022-01-13T12:12:22.635Z,BM-MoTjeMSY,0 days 00:00:41,65420583,4025247,0,27017,404000
4699,Oblivion NPC Dialogue - Hands Up,https://www.youtube.com/watch?v=9IHF-UM-K8w,Jake Ranney,https://www.youtube.com/channel/UC2iMcb8JAzhfwDvDWp4odxA,2022-01-13T12:11:38.417Z,9IHF-UM-K8w,0 days 00:00:45,26546095,1164138,0,5524,23000
4700,WHEN YOU TRY TO DISCIPLINE VIA ONLINE CLASSES 😂🍩,https://www.youtube.com/watch?v=tk0fNiPeRxg,Jeenie.Weenie,https://www.youtube.com/channel/UCWc8CackfCo4q46FpEWBcPg,2022-01-13T12:11:07.848Z,tk0fNiPeRxg,0 days 00:00:32,24111219,2117574,0,6662,5890000
4701,Alternate Universe #shorts,https://www.youtube.com/watch?v=T3MtMatJMHo,Kallmekris,https://www.youtube.com/channel/UCiciOsypkXcqSFqSPd-NRVA,2022-01-13T12:10:21.634Z,T3MtMatJMHo,0 days 00:00:47,51091038,3570442,0,45600,8280000
4702,Could You Sell Someone a Strobe Reading Light?? #shorts,https://www.youtube.com/watch?v=5N6MnUqbuMY,Game Changer Shorts,https://www.youtube.com/channel/UCTcw8GqWQlFcc6ioeJQOMAQ,2022-01-13T12:09:17.845Z,5N6MnUqbuMY,0 days 00:00:52,20527698,1546447,0,2488,1650000
