Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
3556,Kelly Sildaru niczym Manuel Fettner wylądowała na jednej nodze! | Pekin 2022,https://www.youtube.com/watch?v=VCyNOl6GGy0,Eurosport Polska,https://www.youtube.com/channel/UC_pkfygi0DKht_Cc0Ca42Fw,2022-02-10T16:21:38.401Z,VCyNOl6GGy0,0 days 00:01:11,21870,350,0,27,112000
3557,Pianist Serenades Strangers on OMEGLE,https://www.youtube.com/watch?v=Tpu1nVYOdqs,FrankTedesco,https://www.youtube.com/channel/UCvCVf_k9yMLknYHb4mzhqpw,2022-02-10T16:11:09.343Z,Tpu1nVYOdqs,0 days 00:12:14,653772,20347,0,689,481000
3558,"""Ej, tu Stoch skacze a wy mi tu o Fettnerach"" 😅 #shorts",https://www.youtube.com/watch?v=KJXl3y2CWxE,Eurosport Polska,https://www.youtube.com/channel/UC_pkfygi0DKht_Cc0Ca42Fw,2022-02-10T16:10:42.773Z,KJXl3y2CWxE,0 days 00:00:25,49876,1319,0,34,112000
3559,Amy Worries That Tammy Has Hit Rock Bottom  | 1000-lb Sisters,https://www.youtube.com/watch?v=4M3sc4kcFSA,TLC,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw,2022-02-10T16:08:30.765Z,4M3sc4kcFSA,0 days 00:03:22,1410185,23930,0,4238,7300000
3560,My Every Day Carry (EDC) For Work - Work Edition,https://www.youtube.com/watch?v=ib_sCAILDDY,Iven Chaqueco,https://www.youtube.com/channel/UCeaz-00FEWSc2XUFVA-E_0A,2022-02-10T16:07:23.285Z,ib_sCAILDDY,0 days 00:06:36,10824,257,0,20,518
3561,How to Succeed in Business with Michael Scott - The Office US,https://www.youtube.com/watch?v=UPEHV0GJaiU,The Office,https://www.youtube.com/channel/UCa90xqK2odw1KV5wHU9WRhg,2022-02-10T15:57:49.286Z,UPEHV0GJaiU,0 days 00:11:02,929927,17691,0,703,2980000
3562,The most PRO phone money can buy.,https://www.youtube.com/watch?v=LFmcYQZKoEE,Mrwhosetheboss,https://www.youtube.com/channel/UCMiJRAwDNSNzuYeN2uWa0pA,2022-02-10T15:35:05.625Z,LFmcYQZKoEE,0 days 00:18:57,6123924,263587,0,14874,12900000
3563,Mandaty za wyprzedzanie na pasach i skrzyżowaniu,https://www.youtube.com/watch?v=NANtwHIaM0M,swietokrzyskie112,https://www.youtube.com/channel/UCZRMFu9B9maA_SGKQEkon0A,2022-02-10T15:34:20.706Z,NANtwHIaM0M,0 days 00:00:23,1748,5,0,2,394
3564,The Eagles - Hotel California solo (Cover by Chloé),https://www.youtube.com/watch?v=g4bdKXdGHmM,Rockloe,https://www.youtube.com/channel/UCkxf3y2_39JQuu2Zupxo8ZA,2022-02-10T15:33:59.196Z,g4bdKXdGHmM,0 days 00:02:20,22096124,292073,0,10916,548000
3565,The Game Of Thrones Theme Song | Fender Custom Shop | Fender,https://www.youtube.com/watch?v=6i0a7RDPkM8,Fender,https://www.youtube.com/channel/UCI7fys0WM62xF2jUlUdq0XQ,2022-02-10T15:33:21.867Z,6i0a7RDPkM8,0 days 00:07:17,37995299,699418,0,29125,1510000
