"App name","Date","Time","Duration"
"YouTube","14.01.2023",23:15:05,09:10:46
"Screen on (unlocked)","14.01.2023",23:15:04,00:00:01
"Screen off (locked)","14.01.2023",23:09:48,00:05:16
"YouTube","14.01.2023",22:22:53,00:46:55
"Chrome","14.01.2023",22:22:16,00:00:36
"Google","14.01.2023",22:22:05,00:00:00
"Screen on (unlocked)","14.01.2023",22:21:52,00:00:01
"Screen off (locked)","14.01.2023",22:10:35,00:11:17
"Chrome","14.01.2023",22:09:38,00:00:56
"Dysk","14.01.2023",22:09:32,00:00:04
"Screen on (unlocked)","14.01.2023",22:09:32,00:00:01
"Screen off (locked)","14.01.2023",22:08:25,00:01:07
"Dysk","14.01.2023",21:25:51,00:42:34
"Screen on (unlocked)","14.01.2023",21:25:50,00:00:01
"Screen off (locked)","14.01.2023",21:19:22,00:06:28
"Dysk","14.01.2023",21:09:39,00:09:44
"Mened?er plik?w","14.01.2023",21:09:32,00:00:03
"Chrome","14.01.2023",21:09:27,00:00:01
"Screen on (unlocked)","14.01.2023",21:09:26,00:00:01
"Screen off (locked)","14.01.2023",21:07:02,00:02:24
"Chrome","14.01.2023",21:06:07,00:00:56
"YouTube","14.01.2023",21:05:37,00:00:28
"YouTube","14.01.2023",21:04:48,00:00:48
"Chrome","14.01.2023",21:04:20,00:00:28
"Galeria","14.01.2023",21:04:10,00:00:09
"YouTube","14.01.2023",21:02:45,00:01:20
"Chrome","14.01.2023",21:02:34,00:00:10
"Teams","14.01.2023",21:02:13,00:00:21
"T?umacz","14.01.2023",21:02:11,00:00:01
"Screen on (unlocked)","14.01.2023",21:02:10,00:00:01
"Screen off (locked)","14.01.2023",21:01:52,00:00:18
"T?umacz","14.01.2023",21:00:13,00:01:40
"Screen on (unlocked)","14.01.2023",21:00:12,00:00:01
"Screen off (locked)","14.01.2023",20:50:36,00:09:36
"T?umacz","14.01.2023",20:50:02,00:00:34
"Screen on (unlocked)","14.01.2023",20:50:02,00:00:01
"Screen off (locked)","14.01.2023",20:50:00,00:00:02
"T?umacz","14.01.2023",20:49:53,00:00:08
"Messenger","14.01.2023",20:49:50,00:00:01
"Screen on (unlocked)","14.01.2023",20:49:50,00:00:01
"Screen off (locked)","14.01.2023",20:41:45,00:08:04
"Messenger","14.01.2023",20:41:23,00:00:23
"T?umacz","14.01.2023",20:41:21,00:00:01
"Screen on (unlocked)","14.01.2023",20:41:20,00:00:01
"Screen off (locked)","14.01.2023",20:40:49,00:00:31
"T?umacz","14.01.2023",20:40:36,00:00:14
"Screen on (unlocked)","14.01.2023",20:40:35,00:00:01
"Screen off (locked)","14.01.2023",20:39:18,00:01:17
"T?umacz","14.01.2023",20:38:23,00:00:55
"Screen on (unlocked)","14.01.2023",20:38:21,00:00:01
"Screen off (locked)","14.01.2023",20:30:53,00:07:28
"Chrome","14.01.2023",20:28:21,00:02:31
"T?umacz","14.01.2023",20:28:19,00:00:01
"Screen on (unlocked)","14.01.2023",20:28:19,00:00:01
"Screen off (locked)","14.01.2023",20:24:35,00:03:43
"T?umacz","14.01.2023",20:20:37,00:03:58
"Messenger","14.01.2023",20:20:33,00:00:01
"Screen on (unlocked)","14.01.2023",20:20:33,00:00:01
"Screen off (locked)","14.01.2023",20:17:15,00:03:18
"Messenger","14.01.2023",20:16:03,00:01:12
"Chrome","14.01.2023",20:16:00,00:00:03
"Screen on (unlocked)","14.01.2023",20:15:59,00:00:01
"Screen off (locked)","14.01.2023",20:10:40,00:05:19
"Chrome","14.01.2023",20:10:06,00:00:34
"Screen on (unlocked)","14.01.2023",20:10:05,00:00:01
"Screen off (locked)","14.01.2023",20:07:50,00:02:15
"Chrome","14.01.2023",20:07:36,00:00:14
"Screen on (unlocked)","14.01.2023",20:07:35,00:00:01
"Screen off (locked)","14.01.2023",20:05:06,00:02:29
"Chrome","14.01.2023",20:03:05,00:02:02
"T?umacz","14.01.2023",20:02:23,00:00:39
"Dysk","14.01.2023",19:59:15,00:03:01
"Gmail","14.01.2023",19:58:56,00:00:14
"Mened?er plik?w","14.01.2023",19:58:49,00:00:06
"Galeria","14.01.2023",19:58:47,00:00:01
"TIDAL","14.01.2023",19:58:44,00:00:01
"Screen on (unlocked)","14.01.2023",19:58:44,00:00:01
"Screen off (locked)","14.01.2023",19:55:31,00:03:13
"TIDAL","14.01.2023",19:55:15,00:00:16
"Gmail","14.01.2023",19:55:14,00:00:01
"Galeria","14.01.2023",19:55:12,00:00:01
"YouTube","14.01.2023",19:55:07,00:00:01
"YouTube","14.01.2023",19:48:50,00:06:15
"Screen on (unlocked)","14.01.2023",19:48:50,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",19:48:46,00:00:03
"Screen off (locked)","14.01.2023",19:47:42,00:01:05
"YouTube","14.01.2023",19:27:13,00:20:29
"Chrome","14.01.2023",19:26:01,00:01:10
"Galeria","14.01.2023",19:25:54,00:00:07
"Chrome","14.01.2023",19:25:15,00:00:37
"YouTube","14.01.2023",19:25:11,00:00:04
"Screen on (unlocked)","14.01.2023",19:25:10,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",19:25:10,00:00:00
"Screen off (locked)","14.01.2023",19:23:38,00:01:32
"YouTube","14.01.2023",19:18:11,00:05:27
"Chrome","14.01.2023",19:16:48,00:01:22
"WhatsApp","14.01.2023",19:16:46,00:00:01
"Screen on (unlocked)","14.01.2023",19:16:45,00:00:00
"Ekran wy??czony","14.01.2023",19:16:45,00:00:00
"Screen off (locked)","14.01.2023",19:04:20,00:12:25
"Ekran w??czony (zablokowany)","14.01.2023",19:04:20,00:00:01
"Screen off (locked)","14.01.2023",19:00:25,00:03:55
"Ekran w??czony (zablokowany)","14.01.2023",19:00:24,00:00:01
"Screen off (locked)","14.01.2023",18:57:06,00:03:17
"WhatsApp","14.01.2023",18:54:24,00:02:42
"Messenger","14.01.2023",18:54:20,00:00:01
"Screen on (unlocked)","14.01.2023",18:54:20,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",18:54:18,00:00:02
"Screen off (locked)","14.01.2023",18:54:17,00:00:01
"Ekran w??czony (zablokowany)","14.01.2023",18:54:07,00:00:10
"Screen off (locked)","14.01.2023",18:12:01,00:42:06
"Messenger","14.01.2023",18:11:07,00:00:55
"Chrome","14.01.2023",18:10:45,00:00:18
"Messenger","14.01.2023",18:08:40,00:02:04
"Chrome","14.01.2023",18:07:42,00:00:58
"Messenger","14.01.2023",18:06:58,00:00:37
"Screen on (unlocked)","14.01.2023",18:06:57,00:00:00
"Ekran wy??czony","14.01.2023",18:06:57,00:00:00
"Screen off (locked)","14.01.2023",18:06:48,00:00:09
"Messenger","14.01.2023",18:06:44,00:00:04
"Screen on (unlocked)","14.01.2023",18:06:42,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",18:06:42,00:00:00
"Screen off (locked)","14.01.2023",18:03:05,00:03:37
"Screen on (unlocked)","14.01.2023",18:03:01,00:00:03
"Messenger","14.01.2023",18:03:01,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",18:03:01,00:00:00
"Screen off (locked)","14.01.2023",17:47:44,00:15:17
"Messenger","14.01.2023",17:47:39,00:00:05
"Chrome","14.01.2023",17:47:31,00:00:07
"Screen on (unlocked)","14.01.2023",17:47:31,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",17:47:30,00:00:00
"Screen off (locked)","14.01.2023",17:40:42,00:06:49
"Ekran w??czony (zablokowany)","14.01.2023",17:40:41,00:00:01
"Screen off (locked)","14.01.2023",17:39:34,00:01:07
"Chrome","14.01.2023",17:35:37,00:03:57
"YouTube","14.01.2023",17:35:34,00:00:01
"YouTube","14.01.2023",17:35:29,00:00:04
"Screen on (unlocked)","14.01.2023",17:35:29,00:00:01
"Ekran w??czony (zablokowany)","14.01.2023",17:35:26,00:00:02
"Screen off (locked)","14.01.2023",17:34:55,00:00:32
"YouTube","14.01.2023",17:34:54,00:00:01
"Chrome","14.01.2023",17:30:27,00:04:22
"Chrome","14.01.2023",17:30:20,00:00:01
"Screen on (unlocked)","14.01.2023",17:30:19,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",17:30:19,00:00:00
"Screen off (locked)","14.01.2023",17:30:15,00:00:03
"Chrome","14.01.2023",17:27:48,00:02:26
"YouTube","14.01.2023",17:25:11,00:02:36
"Messenger","14.01.2023",17:25:04,00:00:06
"YouTube","14.01.2023",17:24:50,00:00:14
"Messenger","14.01.2023",17:24:32,00:00:18
"Messenger","14.01.2023",17:24:30,00:00:01
"Messenger","14.01.2023",17:23:11,00:01:16
"Chrome","14.01.2023",17:22:53,00:00:18
"Galeria","14.01.2023",17:22:48,00:00:05
"Dysk","14.01.2023",17:22:25,00:00:21
"Chrome","14.01.2023",17:22:18,00:00:06
"Dysk","14.01.2023",17:22:11,00:00:07
"Chrome","14.01.2023",17:22:06,00:00:04
"Dysk","14.01.2023",17:21:27,00:00:39
"Chrome","14.01.2023",17:21:11,00:00:15
"Chrome","14.01.2023",17:19:13,00:01:56
"Galeria","14.01.2023",17:18:39,00:00:33
"Chrome","14.01.2023",17:17:47,00:00:49
"Screen on (unlocked)","14.01.2023",17:17:46,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",17:17:45,00:00:01
"Screen off (locked)","14.01.2023",17:16:27,00:01:18
"YouTube","14.01.2023",17:13:35,00:02:50
"YouTube","14.01.2023",17:07:25,00:06:09
"App Usage","14.01.2023",17:07:02,00:00:22
"Galeria","14.01.2023",17:06:58,00:00:02
"Screen on (unlocked)","14.01.2023",17:06:58,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",17:06:58,00:00:00
"Screen off (locked)","14.01.2023",17:05:21,00:01:36
"Ekran w??czony (zablokowany)","14.01.2023",17:05:19,00:00:02
"Screen off (locked)","14.01.2023",16:45:07,00:20:12
"Galeria","14.01.2023",16:44:54,00:00:13
"Screen on (unlocked)","14.01.2023",16:44:54,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",16:44:53,00:00:01
"Screen off (locked)","14.01.2023",16:32:29,00:12:24
"Galeria","14.01.2023",16:32:23,00:00:06
"Screen on (unlocked)","14.01.2023",16:32:23,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",16:32:22,00:00:01
"Screen off (locked)","14.01.2023",16:32:10,00:00:11
"Galeria","14.01.2023",16:32:07,00:00:03
"Messenger","14.01.2023",16:32:05,00:00:01
"Screen on (unlocked)","14.01.2023",16:32:05,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",16:32:04,00:00:01
"Screen off (locked)","14.01.2023",16:28:40,00:03:24
"Messenger","14.01.2023",16:28:15,00:00:25
"Galeria","14.01.2023",16:21:50,00:06:23
"Screen on (unlocked)","14.01.2023",16:21:50,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",16:21:47,00:00:03
"Screen off (locked)","14.01.2023",16:15:01,00:06:46
"Galeria","14.01.2023",16:14:26,00:00:35
"Screen on (unlocked)","14.01.2023",16:14:24,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",16:14:23,00:00:01
"Screen off (locked)","14.01.2023",15:37:45,00:36:38
"Screen on (unlocked)","14.01.2023",15:37:43,00:00:00
"Ekran w??czony (zablokowany)","14.01.2023",15:37:42,00:00:01
"Screen off (locked)","14.01.2023",15:00:14,00:37:28
"App Usage","14.01.2023",14:57:45,00:02:29
"Screen on (unlocked)","14.01.2023",14:57:36,00:00:01
"Screen off (locked)","14.01.2023",14:44:33,00:13:03
"YouTube","14.01.2023",14:44:29,00:00:04
"Screen on (unlocked)","14.01.2023",14:44:28,00:00:01
"Screen off (locked)","14.01.2023",14:42:53,00:01:36
"YouTube","14.01.2023",14:39:37,00:03:16
"Messenger","14.01.2023",14:38:13,00:01:23
"YouTube","14.01.2023",14:37:52,00:00:20
"Messenger","14.01.2023",14:37:38,00:00:14
"Messenger","14.01.2023",14:36:00,00:01:36
"YouTube","14.01.2023",14:35:32,00:00:28
